Lakin	O
üsyana	O
qoşulmuş	O
zadəganlar	O
xəyanət	O
etdilər	O
,	O
üsyançılar	O
döyüşdə	O
məğlub	O
oldular	O
və	O
Moskvadan	B-LOC
Kaluqaya	B-LOC
çəkildilər	O
.	O

Planlaşdırılan	O
səfərlərdən	O
biri	O
də	O
Latın	B-LOC
Amerikası	I-LOC
istiqamətində	O
olmuşdur	O
.	O

'	O
''	O
In	B-ORG
Flames	I-ORG
''	O
'	O

Süjet	O
adətən	O
Yaponiyada	B-LOC
yaşayan	O
qadınların	O
gündəlik	O
həyatları	O
haqqda	O
bəhz	O
edir	O
.	O

Çıraq	B-LOC
(	I-LOC
Kəlbəcər	I-LOC
)	I-LOC
—	O
Kəlbəcər	B-LOC
rayonunda	I-LOC
kənd	O
.	O

İSTİQAMƏTLƏNDİRMƏ	O
İntiqam	B-ORG
(	I-ORG
teleserial	I-ORG
,	I-ORG
2013	I-ORG
)	I-ORG

Ertəsi	O
mövsüm	O
kubokda	O
¼	O
finala	O
qədər	O
çıxan	O
klub	O
``	O
Qalatasaray	B-ORG
''	O
a	O
məğlub	O
olmuşdur	O
.	O

Günəş	B-LOC
ətrafında	O
dövrünü	O
4,84	O
ilə	O
,	O
öz	O
oxu	O
ətrafında	O
dövrünü	O
4,63	O
saata	O
tamamlayır	O
.	O

Digər	O
iki	O
talisman	O
Seylor	B-PER
Neptun	I-PER
və	O
Seylor	B-PER
Plutondadır	I-PER
.	O

Daha	O
sonra	O
Kufədən	B-LOC
Bağdada	B-LOC
köçür	O
.	O

2014	B-ORG
Avroviziya	I-ORG
Mahnı	I-ORG
Müsabiqəsi	I-ORG

Burada	O
da	O
``	O
Ayaks	B-ORG
''	O
da	O
olduğu	O
kimi	O
4	O
mövsüm	O
forma	O
geyir	O
.	O

Fransa	B-PER
İmperatoru	I-PER
III	I-PER
Napoleon	I-PER

Habsburqların	B-ORG
400	O
illik	O
hakimiyyətinə	O
son	O
qoyuldu	O
.	O

Azərbaycan	B-PER
Dövlət	I-PER
Neft	I-PER
Akademiyasında	I-PER
terror	I-PER
hadisəsi	I-PER

Rəcəb	B-PER
Tayyib	I-PER
Ərdoğan	I-PER
—	O
02.09.2014	O
.	O

Sultan	B-PER
İbrahim	I-PER
mirzə	I-PER
Səfəvi	I-PER
-	O
Məşhəd	B-LOC
,	O
Ərdəbil	B-LOC
,	O
Qain	B-LOC
hakimi	O
.	O

Amma	O
SERN	B-ORG
bu	O
zaman	O
maşını	O
haqqında	O
öyrənir	O
və	O
onu	O
ələ	O
keçirmək	O
üçün	O
qrup	O
yollayır	O
.	O

Bütöv	B-ORG
Azərbaycan	I-ORG
Xalq	I-ORG
Cəbhəsi	I-ORG
Partiyası	I-ORG

İSTİQAMƏTLƏNDİRMƏ	O
Honkonq	B-ORG
Çin	I-ORG
Universiteti	I-ORG

Bir	O
çox	O
kinorejissorlarla	O
işləmiş	O
operatorun	O
ən	O
uğurlu	O
əməkdaşlığı	O
Eldar	B-PER
Ryazanovla	I-PER
olmuşdur	O
.	O

İnzibati	O
və	O
ictimai	O
binaların	O
layihələndirilməsi	O
isə	O
memar	O
Oskar	B-PER
Nimeyerə	I-PER
tapşırıldı	O
.	O

Bu	O
Studio	B-ORG
Ghibli	I-ORG
tərəfindən	O
hazırlanmış	O
dördüncü	O
filmdir	O
.	O

Dantenin	B-PER
Beatriçası	O
də	O
bir	O
çox	O
xüsusiyyətləri	O
ilə	O
Şirinlə	O
müqayisə	O
edilə	O
bilər.”	O
''	O

Onun	O
üçün	O
Homeri	B-PER
oxumaq	O
maariflilik	O
etalonu	O
sayılırdı	O
.	O

Azərbaycan	B-ORG
Dövlət	I-ORG
Dəniz	I-ORG
Akademiyası	I-ORG

Finlandiya	B-LOC
2012	B-ORG
Avroviziya	I-ORG
Mahnı	I-ORG
Müsabiqəsində	I-ORG
iştirak	O
edəcək	O
.	O

*2015	O
–	O
Valletta	B-LOC
,	O
Malta	B-LOC
.	O

İSTİQAMƏTLƏNDİRMƏ	O
Azərbaycan	B-ORG
Respublikası	I-ORG
Əmlak	I-ORG
Məsələləri	I-ORG
Dövlət	I-ORG
Komitəsi	I-ORG

'	O
''	O
Zverevo	O
''	O
'	O
—	O
Rusiya	B-LOC
Federasiyasında	I-LOC
yerləşən	O
şəhər	O
Rostov	B-LOC
vilayətinə	I-LOC
daxildir	O

'	O
''	O
Qəzənfər	B-PER
Musabəyov	I-PER
''	O
'	O

Rammstein	B-ORG
industrial	O
metalı	O
atmosferik	O
elementlərlə	O
zənginləşdirmişdir	O
.	O

O	O
Bakı	B-LOC
şəhərində	O
keçirilən	O
I	B-ORG
Avropa	I-ORG
Oyunlarında	I-ORG
3-cü	O
yeri	O
tutdu	O
.	O

Cənubi	B-LOC
Amerikanın	I-LOC
və	O
Afrikanın	B-LOC
bir	O
sıra	O
ölkələrində	O
çarpayını	O
əvəz	O
edir	O
.	O

Nəriman	B-PER
Nərimanovun	I-PER
leksiyalarını	O
dinləmişdi	O
.	O

Bukingem	B-ORG
sarayının	I-ORG
ön	O
cəbhəsində	O
yerləşir	O
.	O

Azərbaycan	B-ORG
Dəmir	I-ORG
Yolları	I-ORG
Qapalı	I-ORG
Səhmdar	I-ORG
Cəmiyyəti	I-ORG

Hacı	B-PER
Xanməmmədov	I-PER
,	O
bəstəkar	O

'	O
''	O
Şəhər	O
Merlərinin	O
Razılaşması	O
''	O
'	O
—	O
Avropa	B-ORG
İttifaqı	I-ORG
tərəfindən	O
başladılmış	O
kütləvi	O
təşəbbüs	O
olub	O
,	O
nəzarət	O
etdikləri	O
ərazidə	O
enerji	O
səmərəliliyinin	O
və	O
bərpa	O
olunan	O
enerji	O
mənbələrindən	O
istifadənin	O
artırılması	O
üçün	O
könüllü	O
öhdəlik	O
götürmüş	O
yerli	O
və	O
regional	O
hakimiyyət	O
orqanlarını	O
ətrafında	O
birləşdirir	O

İnsan	O
inkişafının	O
potensialı	O
ən	O
aşağı	O
olan	O
10	O
ölkə	O
-	O
Qvineya-Bisau	B-LOC
,	O
Burundi	B-LOC
,	O
Çad	B-LOC
,	O
Konqo	B-LOC
Demokratik	I-LOC
Respublikası	I-LOC
,	O
Burkina-Faso	B-LOC
,	O
Mali	B-LOC
,	O
Mərkəzi	B-LOC
Afrika	I-LOC
Respublikası	I-LOC
,	O
Syerra-Leone	B-LOC
,	O
Əfqanıstan	B-LOC
və	O
Nigerdir.Bu	B-LOC
hesabatda	O
ölkələrin	O
qruplaşdırılması	O
üçün	O
``	O
Çox	O
yüksək	O
İnsan	O
İnkişafı	O
''	O
qrupu	O
əlavə	O
olunmuşdur	O
.	O

Üzeyir	B-ORG
Hacıbəyov	I-ORG
“Çahargah”	O
muğamının	O
dinləyicidə	O
coşğunluq	O
və	O
ehtiras	O
hissi	O
oyatdığını	O
qeyd	O
edir	O
.	O

'	B-PER
''	I-PER
III.	I-PER
Səlim	I-PER
''	I-PER
'	B-PER

Emin	B-PER
Sabit	I-PER
oğlu	I-PER
Mahmudov	I-PER
(	I-PER
Emin	B-PER
Sabitoğlu	I-PER
)	I-PER
—	O
12.12.1997	O

2001-2005-ci	O
illərdə	O
Azərbaycan	B-ORG
Dillər	I-ORG
Universitetinin	I-ORG
Ədəbiyyat	O
kafedrasında	O
müəllim	O
kimi	O
fəaliyyətini	O
davam	O
etdirmişdir	O
.	O

Nizami	B-PER
Paşayevin	I-PER
rəhbərliyi	O
altında	O
çıxış	O
edən	O
Nicat	B-PER
Rəhimov	I-PER
69	O
kq	O
.	O

Şəhristanın	O
inzibati	O
mərkəzi	O
Səadətşəhr	B-LOC
şəhəridir	O
.	O

С.	B-PER
И.	I-PER
Юткевич	I-PER
;	O
Редкол	O
.	O

Filmin	O
premyerasından	O
bir	O
neçə	O
gün	O
öncə	O
Hollivuddan	B-LOC
olan	O
qonaqların	O
və	O
8	O
amerikalı	O
konqresmenin	O
səfəri	O
planlaşdırılırdı	O
.	O

'	O
''	O
Türkmənistan	B-LOC
''	O
'	O

İohann	B-PER
Yakob	I-PER
Bernhardi	I-PER

Şərqdən	O
Norveç	B-LOC
və	O
Danimarka	B-LOC
,	O
qərbdən	O
Böyük	B-LOC
Britaniya	I-LOC
,	O
cənubdan	O
Almaniya	B-LOC
,	O
Niderland	B-LOC
,	O
Belçika	B-LOC
və	O
Fransa	B-LOC
ilə	O
əhatə	O
olunmuşdur	O
.	O

Nüsrətüddövlə	O
Qacar	B-ORG
səltənətinin	O
yıxılmasında	O
yaxından	O
iştirak	O
еtmişdi	O
.	O

Beynəlxalq	B-ORG
Türk	I-ORG
Mədəniyyəti	I-ORG
Təşkilatı	I-ORG

İqrar	B-PER
Əliyev	I-PER
isə	O
Atropatenanın	B-ORG
tarixinə	O
dair	O
əsərində	O
E.A	O
.	O

Qazaxıstanın	B-LOC
Rusiyaya	B-LOC
icarəyə	O
verdiyi	O
respublika	O
tabeli	O
Baykonur	B-LOC
şəhərinin	O
icarə	O
müddəti	O
bitir	O
.	O

Ən	O
yaxşı	O
klassik	O
DVD	B-ORG
buraxılışı	O

Bir	O
neçə	O
ildən	O
sonra	O
İrana	B-LOC
getmiş	O
,	O
Təbrizdə	B-LOC
klinika	O
açmış	O
və	O
ömrünün	O
sonuna	O
qədər	O
orada	O
həkimlik	O
etmişdir	O
.	O

İSTİQAMƏTLƏNDİRMƏ	O
Qarahoca	B-LOC
uyğur	I-LOC
idıkutluğu	I-LOC

Mərkəzi	O
Alagöz	B-LOC
kəndi	O
idi	O
.	O

Ağdamın	B-LOC
İkinci	I-LOC
Yüzbaşlı	I-LOC
kəndi	I-LOC

Uembli	B-ORG
stadionu	I-ORG
,	O
London	B-LOC
,	O
İngiltərə	B-LOC

O	O
,	O
30-dan	O
çox	O
elmi	O
məqalənin	O
,	O
1	O
monoqrafiya	O
,	O
2	O
dərslik	O
və	O
2	O
dərs	O
vəsaitinin	O
müəllifidir.Hal-	O
hazırda	O
Bakı	B-ORG
Slavyan	I-ORG
Universitetinin	I-ORG
İbtidai	O
təhsil	O
kafedrasında	O
dosent	O
vəzifəsində	O
çalışır	O
.	O

Azərbaycan	B-ORG
Dövlət	I-ORG
Akademik	I-ORG
Milli	I-ORG
Dram	I-ORG
Teatrı	I-ORG

ABŞ	B-ORG
Dövlət	I-ORG
Departamentinin	I-ORG
və	O
xarici	O
