suuna	O
Accademia	B-ORG
di	I-ORG
Belle	I-ORG
Arti	I-ORG
di	I-ORG
Firenze	I-ORG

Eestis	B-LOC
on	O
enamik	O
keskkomandosid	O
spetsiaalselt	O
selleks	O
ehitatud	O
hoonetes	O
,	O
tugikomandod	O
seevastu	O
pigem	O
kohandatud	O
hoonetes	O
.	O

aastal	O
Tartu	B-LOC
Vanemuise	B-ORG
kontserdisaalis	I-ORG
toimunud	O
autorikontserdi	O
DVD-salvestis	O
.	O

Keeld	O
oli	O
kehtestatud	O
seoses	O
Samsungi	O
ja	O
Apple	B-ORG
Inc	I-ORG
.	I-ORG
vahel	O
toimunud	O
patendivaidlustega	O
.	O

Eurostat	B-ORG
käsitleb	O
tööealise	O
rahvastikuna	O
enamasti	O
vanuserühma	O
15–64	O
.	O

Óscar	B-PER
Arias	I-PER
Sánchez	I-PER
(	O
Costa	B-LOC
Rica	I-LOC
)	O

Roheline	B-ORG
Partei	I-ORG
(	I-ORG
Iirimaa	I-ORG
)	I-ORG

Nõukogude	B-ORG
Liidu	I-ORG
Kommunistliku	I-ORG
Partei	I-ORG
Keskkomitee	I-ORG

Wolfgang	B-PER
Köhler	I-PER
(	O
1887–1967	O
)	O

Hiljem	O
ehitati	O
territooriumile	O
Tallinnfilmi	B-ORG
võttepaviljon	O
,	O
kus	O
asus	O
ka	O
kostüümiladu	O
ja	O
prožektoripark	O
.	O

1930.	O
aastate	O
alguses	O
oli	O
ärimees	O
,	O
toetas	O
vabadussõjalasi	B-ORG
.	O

Toetust	O
otsiti	O
Roomast	B-LOC
ja	O
Moskva	B-LOC
tsaaririigist	I-LOC
,	O
kuid	O
mitmesugustel	O
asjaoludel	O
see	O
ei	O
õnnestunud	O
.	O

Nende	O
artiklite	O
kirjutamise	O
ajal	O
elas	O
ta	O
juba	O
Rootsis	B-LOC
.	O

Zubova	B-LOC
Poljana	I-LOC
rajoon	I-LOC
(	O
''Зубово-Полянский	O
район	O
''	O
)	O

Ta	O
oli	O
ka	O
üks	O
Balti	B-LOC
apelli	I-LOC
koostajaid	O
.	O

Mat	B-PER
Hoffman	I-PER
(	O
1972–	O
)	O

Aastail	O
2001–2011	O
oli	O
ta	O
Eesti	B-ORG
Keskerakonna	I-ORG
liige	O
.	O

**	O
'	O
''	O
21	O
''	O
'	O
Giancarlo	B-PER
Fisichella	I-PER
,	O
Itaalia	B-LOC
(	O
esimesed	O
12	O
etappi	O
)	O

Iraagis	B-LOC
800	O
000	O
,	O
Süürias	B-LOC
500	O
000	O
,	O
Ameerika	B-LOC
Ühendriikides	I-LOC
83	O
000	O
,	O
Rootsis	B-LOC
35	O
000	O
,	O
Austraalias	B-LOC
27	O
000	O
,	O
Saksamaal	B-LOC
23	O
000	O
,	O
Prantsusmaal	B-LOC
15	O
000	O
,	O
Venemaal	B-LOC
14	O
000	O
,	O
Iraanis	B-LOC
10	O
000	O
,	O
Kreekas	B-LOC
8000	O
,	O
Belgias	B-LOC
8000	O
,	O
Kanadas	B-LOC
7000	O
,	O
Jordaanias	B-LOC
7000	O
,	O
Liibanonis	B-LOC
5000	O
,	O
Türgis	B-LOC
5000	O
,	O
Hollandis	B-LOC
5000	O
,	O
Suurbritannias	B-LOC
5000	O
,	O
Armeenias	B-LOC
3500	O
,	O
Gruusias	B-LOC
3300	O
,	O
Ukrainas	B-LOC
3200	O
,	O
Uus-Meremaal	B-LOC
1200	O
.	O

Eestis	B-LOC
kutsuti	O
markusepäeva	O
ka	O
'	O
''	O
äkksurmapäevaks	O
''	O
'	O
.	O

Viru-Nigula	B-LOC
vald	I-LOC
,	O
Lääne-Viru	B-LOC
maakond	I-LOC

Edgar	B-PER
V.	I-PER
Saks	I-PER
.	O

Tegemist	O
on	O
vanima	O
ja	O
kõrgeima	O
laiuga	O
Eestis	B-LOC
