تغییرمسیر	O
مهتر	B-LOC
(	I-LOC
خرم‌آباد	I-LOC
)	I-LOC

'	O
''	O
شهرستان	B-LOC
حمص	I-LOC
''	O
'	O

تغییرمسیر	O
سیگویدین	B-LOC
(	I-LOC
سیگله	I-LOC
)	I-LOC

مادرش	O
جزو	O
نخستین	O
گروه	O
فارغ‌التحصیلان	O
مدرسه	B-ORG
پرستاری	I-ORG
دانشگاه	B-ORG
تهران	I-ORG
بود	O
.	O

رانی	B-PER
موکرجی	I-PER
در	O
نقش	O
Aparna	O

تغییرمسیر	O
یحیی	B-PER
بن	I-PER
معاذ	I-PER

ناصر	B-PER
بناکننده	I-PER
(	I-PER
ناصر	B-PER
پورپیرار	I-PER
)	I-PER

تغییرمسیر	O
محتوای	B-ORG
تولید	I-ORG
شده	I-ORG
توسط	I-ORG
کاربر	I-ORG

تغییرمسیر	O
مزرعه	B-LOC
شیمک	I-LOC
شور	I-LOC

تغییر_مسیر	O
قارچ	B-LOC
شیری	I-LOC
آبی	I-LOC

تغییرمسیر	O
قلعه	B-LOC
نوکلاته	I-LOC
منار	I-LOC

تغییرمسیر	O
ناحیه	B-LOC
تایلند	I-LOC
مرکزی	I-LOC

سازمان	B-ORG
میراث	I-ORG
فرهنگی،	I-ORG
صنایع	I-ORG
دستی	I-ORG
و	I-ORG
گردشگری	I-ORG

تغییرمسیر	O
یک	B-ORG
دختر	I-ORG
تنها	I-ORG

تغییرمسیر	O
فوتبال	B-ORG
در	I-ORG
بازی‌های	I-ORG
المپیک	I-ORG
تابستانی	I-ORG
۱۹۰۸	I-ORG

تغییرمسیر	O
ان.	B-ORG
ئی.	I-ORG
آر.	I-ORG
دی	I-ORG

حد	O
خلیج	B-LOC
فارس	I-LOC
-	O
محدوده	O
دریای	B-LOC
عرب	I-LOC
و	O
...	O

تغییرمسیر	O
فرانسیس	B-PER
لی	I-PER
مک‌کین	I-PER

تغییرمسیر	O
بلدرچین	B-LOC
بوته‌زار	I-LOC
رنگی	I-LOC

