#	O
#	O
ユ	B-PER
リ	I-PER
ウ	I-PER
ス	I-PER
・	I-PER
ベ	I-PER
ー	I-PER
リ	I-PER
ッ	I-PER
ク	I-PER
#	O
1	O
9	O
9	O
9	O

#	O
ル	B-ORG
ノ	I-ORG
ー	I-ORG
、	O
日	B-ORG
産	I-ORG
自	I-ORG
動	I-ORG
車	I-ORG
に	O
資	O
本	O
参	O
加	O
。	O

ソ	B-LOC
マ	I-LOC
リ	I-LOC
ラ	I-LOC
ン	I-LOC
ド	I-LOC
（	O
事	O
実	O
上	O
独	O
立	O
し	O
た	O
地	O
域	O
、	O
他	O
に	O
ソ	O
マ	O
リ	O
語	O
、	O
ア	O
ラ	O
ビ	O
ア	O
語	O
）	O

R	O
E	O
D	O
I	O
R	O
E	O
C	O
T	O
#	O
ス	B-ORG
レ	I-ORG
イ	I-ORG
マ	I-ORG
ニ	I-ORG
エ	I-ORG
・	I-ORG
モ	I-ORG
ス	B-ORG
ク	I-ORG

#	O
'	O
'	O
E	O
l	O
e	O
c	O
t	O
r	O
i	O
c	O
#	O
C	O
o	O
u	O
n	O
t	O
e	O
r	O
p	O
o	O
i	O
n	O
t	O
'	O
'	O
#	O
(	O
1	O
9	O
8	O
7	O
)	O
#	O
-	O
#	O
S	B-PER
t	I-PER
e	I-PER
v	I-PER
e	I-PER
#	O
R	I-PER
e	I-PER
i	I-PER
c	I-PER
h	I-PER

乾	O
寧	O
元	O
年	O
（	O
8	O
9	O
4	O
年	O
）	O
1	O
1	O
月	O
に	O
死	O
去	O
。	O
『	O
南	O
漢	O
書	O
』	O
に	O
よ	O
れ	O
ば	O
、	O
劉	O
知	O
謙	O
は	O
病	O
床	O
に	O
息	O
子	O
た	O
ち	O
を	O
集	O
め	O
、	O
「	O
い	O
ま	O
、	O
五	O
嶺	O
（	O
広	O
東	O
・	O
広	O
西	O
）	O
で	O
は	O
い	O
た	O
る	O
と	O
こ	O
ろ	O
で	O
盗	O
賊	O
が	O
決	O
起	O
し	O
て	O
い	O
る	O
。	O
我	O
に	O
は	O
精	O
鋭	O
の	O
兵	O
士	O
と	O
武	O
器	O
が	O
あ	O
る	O
。	O
汝	O
ら	O
は	O
努	O
め	O
て	O
功	O
を	O
建	O
て	O
よ	O
。	O
時	O
機	O
を	O
逃	O
し	O
て	O
は	O
な	O
ら	O
ぬ	O
!	O
」	O
と	O
言	O
い	O
残	O
し	O
た	O
と	O
い	O
う	O
。	O
南	O
漢	O
建	O
国	O
後	O
に	O
聖	O
武	O
皇	O
帝	O
と	O
追	O
尊	O
さ	O
れ	O
た	O
。	O
廟	B-PER
号	I-PER
は	O
代	O
祖	O
。	O

:	O
#	O
分	O
布	O
：	O
日	O
本	O
（	O
奄	B-LOC
美	I-LOC
大	I-LOC
島	I-LOC
、	O
石	O
垣	O
島	O
、	O
大	B-LOC
東	I-LOC
諸	I-LOC
島	I-LOC
）	O
、	O
台	O
湾	O
。	O

最	O
初	O
の	O
奨	O
学	O
生	O
は	O
1	O
6	O
9	O
9	O
年	O
に	O
入	O
学	O
を	O
許	O
可	O
さ	O
れ	O
、	O
そ	O
の	O
ひ	O
と	O
り	O
が	O
ア	B-PER
ダ	I-PER
ム	I-PER
・	I-PER
ス	I-PER
ミ	I-PER
ス	I-PER
で	O
あ	O
っ	O
た	O
。	O

#	O
P	B-ORG
R	I-ORG
O	I-ORG
J	I-ORG
E	I-ORG
C	I-ORG
T	I-ORG
#	O
A	I-ORG
R	I-ORG
M	I-ORG
S	I-ORG
#	O
（	O
2	O
0	O
0	O
1	O
年	O
-	O
2	O
0	O
0	O
2	O
年	O
）	O

オ	B-LOC
ホ	I-LOC
ー	I-LOC
ツ	I-LOC
ク	I-LOC
総	I-LOC
合	I-LOC
振	I-LOC
興	I-LOC
局	I-LOC
の	O
全	O
域	O

;	O
#	O
殿	O
村	O
#	O
厳	O
十	O
朗	O
（	O
と	O
の	O
む	O
ら	O
#	O
げ	O
ん	O
じ	O
ゅ	O
う	O
ろ	O
う	O
）	O
（	O
声	O
：	O
緑	B-PER
川	I-PER
光	I-PER
）	O

グ	B-ORG
レ	I-ORG
ン	I-ORG
研	I-ORG
究	I-ORG
セ	I-ORG
ン	I-ORG
タ	I-ORG
ー	I-ORG
#	O
J	O
o	O
h	O
n	O
#	O
H	O
.	O
#	O
G	O
l	O
e	O
n	O
n	O
#	O
R	O
e	O
s	O
e	O
a	O
r	O
c	O
h	O
#	O
C	O
e	O
n	O
t	O
e	O
r	O
#	O
(	O
G	O
R	O
C	O
）	O

#	O
'	O
'	O
'	O
'	O
'	O
U	O
S	O
S	O
ホ	O
ー	O
ネ	O
ッ	O
ト	O
対	O
H	O
M	O
S	O
ピ	O
ー	O
コ	O
ッ	O
ク	O
（	O
2	O
月	O
2	O
4	O
日	O
）	O
'	O
'	O
'	O
'	O
'	O
:	O
#	O
ガ	B-LOC
イ	I-LOC
ア	I-LOC
ナ	I-LOC
の	O
ダ	O
メ	O
ラ	O
ラ	O
川	O
沖	O
で	O
、	O
ア	O
メ	O
リ	O
カ	O
海	O
軍	O
ス	O
ル	O
ー	O
プ	O
艦	O
'	O
'	O
ホ	O
ー	O
ネ	O
ッ	O
ト	O
'	O
'	O
が	O
、	O
川	O
に	O
碇	O
泊	O
す	O
る	O
イ	O
ギ	O
リ	O
ス	O
海	O
