LENCONG	O
Anjing	B-ORG
gembala	I-ORG
Amerika	I-ORG
kecil	I-ORG

Dante	B-PER
(	I-PER
Devil	I-PER
May	I-PER
Cry	I-PER
)	I-PER

Suhu	O
airnya	O
adalah	O
berbeza-beza	O
dengan	O
julat	O
sekitar	O
10	O
hingga	O
-	O
°C	B-ORG
.	O

CSI	B-ORG
:	I-ORG
Crime	I-ORG
Scene	I-ORG
Investigation	I-ORG
''	O

Tapak	B-ORG
Warisan	I-ORG
Dunia	I-ORG

'	O
''	O
Sauber	B-ORG
''	O
'	O

Goh	B-PER
V	I-PER
Shem	I-PER
Lim	B-PER
Khim	I-PER
Wah	I-PER

'	O
''	O
Robert	B-PER
Kubica	I-PER
''	O
'	O

''Dinyanyikan	O
oleh	O
Suzuki	B-PER
Airi	I-PER
.	O
''	O

LENCONG	O
Anjing	B-ORG
penuding	I-ORG
berbulu	I-ORG
dawai	I-ORG
Jerman	I-ORG

'	O
''	O
Fernando	B-PER
Alonso	I-PER
''	O
'	O

''	O
Ning	B-PER
Baizura	I-PER
''	O
'	O

N	O
18	O
Bukit	B-LOC
Tambun	I-LOC
Law	B-PER
Choo	I-PER
Kiang	I-PER

Jawatankuasa	B-LOC
pembangunan	I-LOC
kampung	I-LOC
di	I-LOC
Nepal	I-LOC

Mohd	B-PER
Zin	I-PER
Mohamed	I-PER
seterusnya	O
meminta	O
penduduk	O
supaya	O
tidak	O
terpengaruh	O
dengan	O
pihak	O
yang	O
cuba	O
mengambil	O
kesempatan	O
berhubung	O
isu	O
tersebut	O
hingga	O
mencetuskan	O
kekecohan	O
.	O

'	O
''	O
Fernando	B-PER
Alonso	I-PER
''	O
'	O

Komun	B-LOC
di	I-LOC
jabatan	I-LOC
Saône-et-Loire	I-LOC

Komun	B-LOC
di	I-LOC
jabatan	I-LOC
Oise	I-LOC

'	O
''	O
Rupiah	B-PER
Banda	I-PER
''	O
'	O
,	O
President	O

Komun	B-LOC
di	I-LOC
jabatan	I-LOC
Meurthe-et-Moselle	I-LOC

'	O
''	O
Michael	B-PER
Schumacher	I-PER
''	O
'	O

5	O
/	O
8	O
Chen	B-PER
Yu	I-PER

LENCONG	O
Anjing	B-ORG
tangkap	I-ORG
Canaria	I-ORG

Rahah	B-PER
Mohammad	I-PER
Noah	I-PER

Komun	B-LOC
di	I-LOC
jabatan	I-LOC
Dordogne	I-LOC

Give	B-ORG
Me	I-ORG
Five	I-ORG
!	I-ORG

Abdullah	B-PER
ibn	I-PER
Abdul	I-PER
Aziz	I-PER
Al-Saud	I-PER

Burung	B-LOC
Enggang	I-LOC
Jambul	I-LOC
Hitam	I-LOC

'	O
''	O
Fernando	B-PER
Alonso	I-PER
''	O
'	O

LENCONG	O
Anjing	B-ORG
gunung	I-ORG
Entlebuch	I-ORG

Komun	B-LOC
di	I-LOC
jabatan	I-LOC
Haute-Garonne	I-LOC

Komun	B-LOC
di	I-LOC
jabatan	I-LOC
Corrèze	I-LOC

Johol	B-LOC
(	O
'	O
''	O
جوهول	O
''	O
'	O
)	O

Burung	B-LOC
Lang	I-LOC
Baza	I-LOC
Hitam	I-LOC

Universiti	B-ORG
Malaysia	I-ORG
Pahang	I-ORG

Lihat	O
artikel	O
utama	O
Hatake	B-PER
Kakashi	I-PER

Komun	B-LOC
di	I-LOC
jabatan	I-LOC
Yonne	I-LOC

Jawatankuasa	B-LOC
pembangunan	I-LOC
kampung	I-LOC
di	I-LOC
Nepal	I-LOC

Komun	B-LOC
di	I-LOC
jabatan	I-LOC
Ain	I-LOC

LENCONG	O
Anjing	B-ORG
pemburu	I-ORG
Canaria	I-ORG

Muzium	B-ORG
Polis	I-ORG
Diraja	I-ORG
Malaysia	I-ORG

Komun	B-LOC
di	I-LOC
jabatan	I-LOC
Doubs	I-LOC

LENCONG	O
Holy	B-ORG
Fire	I-ORG
(	I-ORG
album	I-ORG
)	I-ORG

Komun	B-LOC
di	I-LOC
jabatan	I-LOC
Seine-Maritime	I-LOC

1496-1528	O
Sultan	B-PER
Ali	I-PER
Mughayat	I-PER
Syah	I-PER
.	O

'	O
''	O
Fernando	B-PER
Alonso	I-PER
''	O
'	O

Komun	B-LOC
di	I-LOC
jabatan	I-LOC
Seine-Saint-Denis	I-LOC

Ida	B-PER
Nerina	I-PER
(	O
Sitam	O
)	O

V.	B-PER
T.	I-PER
Sambanthan	I-PER

Partai	B-ORG
Sosialis	I-ORG
Indonesia	I-ORG

LENCONG	O
Terier	B-ORG
rubah	I-ORG
mainan	I-ORG

LENCONG	O
Senarai	B-ORG
ketua	I-ORG
negara	I-ORG
Hungary	I-ORG

'	O
''	O
Noraniza	B-PER
Idris	I-PER
''	O
'	O

Komun	B-LOC
di	I-LOC
jabatan	I-LOC
Vienne	I-LOC

Pasukan	B-ORG
bola	I-ORG
sepak	I-ORG
kebangsaan	I-ORG
bawah-23	I-ORG
Iraq	I-ORG

Partai	B-ORG
Kebangkitan	I-ORG
Bangsa	I-ORG

''	O
(	O
Amerika	B-LOC
Syarikat	I-LOC
)	O
''	O

Komun	B-LOC
di	I-LOC
jabatan	I-LOC
Meuse	I-LOC

''Dinyanyikan	O
oleh	O
Risako	B-PER
Sugaya	I-PER
''	O

Komun	B-LOC
di	I-LOC
jabatan	I-LOC
Haute-Garonne	I-LOC

'	O
''	O
Fernando	B-PER
Alonso	I-PER
''	O
'	O

'	O
''	O
Lisa	B-PER
Surihani	I-PER
''	O
'	O

'	O
''	O
Jenson	B-PER
Button	I-PER
''	O
'	O

Lembaga	B-ORG
Minyak	I-ORG
Sawit	I-ORG
Malaysia	I-ORG

Dýšina	B-LOC
–	O
sebelumnya	O
Daerah	B-LOC
Plzeň-Utara	I-LOC

'	O
''	O
Nicky	B-PER
Hayden	I-PER
''	O
'	O

Istilah	O
ini	O
juga	O
digunakan	O
dalam	O
Bahasa	B-ORG
Arab	I-ORG
untuk	O
nama	O
Laut	B-LOC
Mati	I-LOC
,	O
''al-Bahr	O
al-Mayyit	O
''	O
.	O

'	O
''	O
Sébastien	B-PER
Buemi	I-PER
''	O
'	O

Komun	B-LOC
di	I-LOC
jabatan	I-LOC
Seine-Maritime	I-LOC

YB	B-PER
Dato	I-PER
'	I-PER
Seri	I-PER
Dr.	I-PER
Ahmad	I-PER
Zahid	I-PER
Hamidi	I-PER

Komun	B-LOC
di	I-LOC
jabatan	I-LOC
Finistère	I-LOC

Istanbul	B-LOC
(	O
aggl	O
.	O
)	O

Kemudian	O
mereka	O
bertemu	O
dengan	O
pasangan	O
Howells	O
(	O
lakonan	O
Jim	B-PER
Backus	I-PER
