Walt	B-ORG
Disney	I-ORG
World	I-ORG
Resort	I-ORG

'	O
''	O
St.	B-ORG
Louis	I-ORG
Blues	I-ORG
''	O
'	O

Poços	B-LOC
de	I-LOC
Caldas	I-LOC
/	O
Pouso	B-LOC
Alegre	I-LOC
/	O
Varginha	B-LOC

Melhor	O
Direção	O
–	O
Laís	B-PER
Bodanzky	I-PER

'	O
''	O
Kimmer	B-PER
Coppejans	I-PER
''	O
'4–6	O
,	O
6–2	O
,	O
6–2	O

Your	B-ORG
Love	I-ORG
Is	I-ORG
My	I-ORG
Drug	I-ORG

Wallengren	O
-	O
Hans	B-PER
Daniel	I-PER
Johan	I-PER
Wallengren	I-PER
(	O
1823–1894	O
)	O

'	O
''	O
Cássio	B-PER
Motta	I-PER
/	O
Fernando	B-PER
Roese	I-PER
''	O
'	O
x	O
Boris	B-PER
Becker	I-PER
/	O
Eric	B-PER
Jelen	I-PER

Villa	B-ORG
Medici	I-ORG
em	I-ORG
Fiesole	I-ORG

'	O
''	O
Héctor	B-PER
Barberá	I-PER
''	O
'	O

Mário	B-PER
Ferreira	I-PER
dos	I-PER
Santos	I-PER

Batman	B-PER
,	O
Legião	B-PER
dos	I-PER
Super-Heróis	I-PER
e	O
Superman	B-PER
.	O

===	O
Celorico	B-LOC
de	I-LOC
Basto	I-LOC
===	O

Quarta	O
fase	O
,	O
perdeu	O
para	O
Kei	B-PER
Nishikori	I-PER
[10]	O

Cosmódromo	B-ORG
de	I-ORG
Plesetsk	I-ORG
43	O
/	O
4	O

Pico	B-LOC
de	I-LOC
Adão	I-LOC

*1929	O
Max	B-PER
Planck	I-PER
e	O
Albert	B-PER
Einstein	I-PER

Constantin	B-ORG
Film	I-ORG
(	O
na	O
Alemanha	B-LOC
)	O

Heinrich	B-PER
Bullinger	I-PER
(	O
1504-1575	O
)	O

Martin	B-PER
Brundle	I-PER
Emmanuel	B-PER
Collard	I-PER
Vincenzo	B-PER
Sospiri	I-PER

Ieoh	B-PER
Ming	I-PER
Pei	I-PER

Francisca	B-PER
de	I-PER
Rímini	I-PER

Artur	B-PER
Agostinho	I-PER
...	O
''Reformado	O
''	O

``	O
Just	B-ORG
Give	I-ORG
Me	I-ORG
a	I-ORG
Reason	I-ORG
''	O

''	O
Celypha	O
rurestrana	O
''	O
-	O
Global	B-ORG
Biodiversity	I-ORG
Information	I-ORG
Facility	I-ORG

Anastasio	B-PER
Somoza	I-PER
García	I-PER

Sgt.	B-ORG
Pepper	I-ORG
's	I-ORG
Lonely	I-ORG
Hearts	I-ORG
Club	I-ORG
Band	I-ORG
''	O

'	O
''	O
Seogwipo	B-LOC
''	O
'	O
,	O
Jeju	B-LOC
,	O
Coreia	B-LOC
do	I-LOC
Sul	I-LOC

É	O
protagonizado	O
por	O
Keanu	B-PER
Reeves	I-PER
,	O
Common	B-PER
,	O
Bridget	B-PER
Moynahan	I-PER
,	O
Ian	B-PER
McShane	I-PER
e	O
John	B-PER
Leguizamo	I-PER
.	O

REDIRECIONAMENTO	O
Reino	B-LOC
da	I-LOC
Ibéria	I-LOC

Arena	B-LOC
do	I-LOC
Grêmio	I-LOC
,	O
Porto	B-LOC
Alegre	I-LOC

''	O
Bulbophyllum	B-LOC
giriwoense	I-LOC
''	O
