Lalawigan	B-LOC
ng	I-LOC
Afyonkarahisar	I-LOC

Mga	B-LOC
comune	I-LOC
ng	I-LOC
Lalawigan	I-LOC
ng	I-LOC
Pavia	I-LOC

Mga	B-LOC
comune	I-LOC
ng	I-LOC
Ain	I-LOC

William	B-PER
Howard	I-PER
Taft	I-PER

Imperyo	B-ORG
ng	I-ORG
Maurya	I-ORG

Katedral	B-ORG
ng	I-ORG
Malolos	I-ORG

Ikalawang	B-ORG
Konsilyong	I-ORG
Vaticano	I-ORG

'	O
''	O
Senegal	B-LOC
''	O
'	O

Dangerously	B-ORG
In	I-ORG
Love	I-ORG

Lingguhang	B-ORG
kabahagi	I-ORG
ng	I-ORG
Tora	I-ORG

Pamantasan	B-ORG
ng	I-ORG
Santo	I-ORG
Tomas	I-ORG

Benigno	B-PER
Aquino	I-PER
,	I-PER
Jr	I-PER
.	I-PER

Benito	B-PER
ng	I-PER
Nursia	I-PER

Mga	B-LOC
comune	I-LOC
ng	I-LOC
Lalawigan	I-LOC
ng	I-LOC
Pavia	I-LOC

Araling	B-ORG
Katutubong	I-ORG
Amerikano	I-ORG

*PUP	O
,	O
daglat	O
para	O
sa	O
Politeknikong	B-ORG
Unibersidad	I-ORG
ng	I-ORG
Pilipinas	I-ORG
.	O

Air21	O
Express]]	O
(	O
2006–2009	O
)	O
San	B-PER
Miguel	I-PER
Beermen	I-PER
(	O
2009–kasalukuyan	O
)	O

'	O
''	O
Mongolia	B-LOC
''	O
'	O

Isabel	B-PER
ng	I-PER
Ungria	I-PER

'	O
''	O
Israel	B-LOC
''	O
'	O

Bitak	B-ORG
sa	I-ORG
katawan	I-ORG
ng	I-ORG
tao	I-ORG

Universidade	B-ORG
Estadual	I-ORG
de	I-ORG
Feira	I-ORG
de	I-ORG
Santana	I-ORG

'	O
''	O
Fernando	B-PER
Lopez	I-PER
''	O
'	O

Kalamnang	B-LOC
rectus	I-LOC
abdominis	I-LOC

Hidalgo	B-LOC
(	I-LOC
Mehiko	I-LOC
)	I-LOC

Mga	B-LOC
comune	I-LOC
ng	I-LOC
Ain	I-LOC

Bunga	B-LOC
(	I-LOC
puno	I-LOC
)	I-LOC

Seno	B-PER
ng	I-PER
Sityum	I-PER

Abdulmari	B-PER
Asia	I-PER
Imao	I-PER

Jane	B-PER
Seymour	I-PER
(	I-PER
aktres	I-PER
)	I-PER

Papa	B-PER
Benedicto	I-PER
XVI	I-PER

Ipininta	O
ni	O
Gainsbourough	O
si	O
Haring	B-PER
George	I-PER
III	I-PER
nang	O
walong	O
ulit	O
.	O

Eugenio	B-PER
María	I-PER
de	I-PER
Hostos	I-PER

Pandaigdigang	B-ORG
Toreng	I-ORG
G.T	I-ORG
.	I-ORG

Crusader	B-PER
(	I-PER
Marvel	I-PER
Comics	I-PER
)	I-PER

''	O
Lea	B-PER
Salonga	I-PER
...	I-PER
Your	I-PER
Songs	I-PER
''	O

Lingguhang	B-ORG
kabahagi	I-ORG
ng	I-ORG
Tora	I-ORG

Awtonomong	B-LOC
Rehiyon	I-LOC
sa	I-LOC
Muslim	I-LOC
Mindanao	I-LOC

Aralin	B-ORG
na	I-ORG
pang-Amerikang	I-ORG
Latino	I-ORG

Simbahan	B-ORG
ng	I-ORG
Obando	I-ORG

Heneral	O
Carlos	B-PER
P.	I-PER
Romulo	I-PER
at	O
Hen	O
.	O

Papa	B-PER
Clemente	I-PER
IV	I-PER

Mga	B-LOC
comune	I-LOC
ng	I-LOC
Ain	I-LOC

Juan	B-PER
Sebastián	I-PER
Elcano	I-PER

Konduktor	B-ORG
ng	I-ORG
musika	I-ORG

Griyegong	B-ORG
Ortodoksong	I-ORG
Simbahan	I-ORG
ng	I-ORG
Herusalem	I-ORG

Pamantasan	B-ORG
ng	I-ORG
Santo	I-ORG
Tomas	I-ORG

Mary	B-PER
McLeod	I-PER
Bethune	I-PER

Takumi	B-PER
Saito	I-PER
(	O
Abril	O
1995-Marso	O
1996	O
)	O
Batch	O
2006	O

Baliuag	B-LOC
,	I-LOC
Bulacan	I-LOC

Mga	B-ORG
Halamanan	I-ORG
ng	I-ORG
Lungsod	I-ORG
ng	I-ORG
Batikano	I-ORG

Gilberto	B-PER
Teodoro	I-PER
,	I-PER
Jr	I-PER
.	I-PER

William	B-PER
Butler	I-PER
Yeats	I-PER

Henri	B-PER
de	I-PER
Toulouse-Lautrec	I-PER

The	B-PER
Emperor	I-PER
's	I-PER
New	I-PER
School	I-PER

San	B-LOC
Miguel	I-LOC
de	I-LOC
Sema	I-LOC

Buddha	B-ORG
Yodfa	I-ORG
Chulaloke	I-ORG

Irlanda	B-LOC
(	I-LOC
pulo	I-LOC
)	I-LOC

'	O
''	O
Netherlands	B-LOC
''	O
'	O

Abenida	B-ORG
Epifanio	I-ORG
de	I-ORG
los	I-ORG
Santos	I-ORG

Simbahan	B-ORG
ng	I-ORG
Adbentistang	I-ORG
Pang-ikapitong	I-ORG
Araw	I-ORG

``	O
''Checkers	O
''	O
''	O
ang	O
katawagan	O
nito	O
sa	O
Amerika	B-LOC
.	O

Kawanihan	B-ORG
ng	I-ORG
Rentas	I-ORG
Internas	I-ORG
(	I-ORG
Pilipinas	I-ORG
)	I-ORG

Isidro	B-PER
ng	I-PER
Sevilla	I-PER

==	O
Departamento	B-LOC
ng	I-LOC
Cundinamarca	I-LOC
==	O

Jílín	B-LOC
(	O
吉林	O
)	O

Piramide	B-ORG
ng	I-ORG
Ehipto	I-ORG

Lucy	B-PER
(	I-PER
Australopithecus	I-PER
)	I-PER

Lungsod	B-LOC
ng	I-LOC
Turino	I-LOC

Seno	B-PER
ng	I-PER
Sityum	I-PER

''	O
Christopher	B-PER
de	I-PER
Leon	I-PER

Mga	B-LOC
comune	I-LOC
ng	I-LOC
Ain	I-LOC

I	B-ORG
Love	I-ORG
Betty	I-ORG
La	I-ORG
Fea	I-ORG
''	O

'	O
''	O
GlobalPort	B-ORG
Batang	I-ORG
Pier	I-ORG
''	O
'	O

'	O
''	O
Monique	B-PER
Coleman	I-PER
''	O
