2	O
0	O
0	O
9	O
年	O
：	O
李	B-PER
民	I-PER
基	I-PER
《	O
E	O
t	O
e	O
r	O
n	O
a	O
l	O
#	O
S	O
u	O
m	O
m	O
e	O
r	O
》	O

#	O
澳	B-ORG
門	I-ORG
大	I-ORG
學	I-ORG
田	O
家	O
炳	O
教	O
育	O
研	O
究	O
所	O

#	O
大	B-LOC
维	I-LOC
多	I-LOC
利	I-LOC
亚	I-LOC
沙	I-LOC
漠	I-LOC

邁	B-ORG
克	I-ORG
和	I-ORG
茉	I-ORG
莉	I-ORG

小	B-PER
甲	I-PER

#	O
茱	B-PER
蒂	I-PER
·	I-PER
丹	I-PER
契	I-PER
饰	O
M	O
，	O
秘	O
密	O
情	O
报	O
局	O
主	O
管	O
，	O
邦	O
德	O
的	O
顶	O
头	O
上	O
司	O
。	O

重	O
定	O
向	O
#	O
暨	B-ORG
南	I-ORG
大	I-ORG
学	I-ORG

r	O
e	O
d	O
i	O
r	O
e	O
c	O
t	O
#	O
淡	B-ORG
马	I-ORG
锡	I-ORG
控	I-ORG
股	I-ORG

小	B-PER
坂	I-PER
誠	I-PER

R	O
E	O
D	O
I	O
R	O
E	O
C	O
T	O
#	O
加	B-PER
西	I-PER
亚	I-PER
·	I-PER
桑	I-PER
切	I-PER
斯	I-PER
#	O
(	I-PER
卡	I-PER
斯	I-PER
蒂	I-PER
利	I-PER
亚	I-PER
)	I-PER

#	O
灰	B-LOC
绿	I-LOC
藜	I-LOC

#	O
塞	B-ORG
利	I-ORG
米	I-ORG
耶	I-ORG
清	I-ORG
真	I-ORG
寺	I-ORG

熊	B-LOC
本	I-LOC
縣	I-LOC

2	O
0	O
1	O
0	O
年	O
6	O
月	O
，	O
港	O
會	O
為	O
升	O
其	O
足	O
球	O
隊	O
升	O
班	O
甲	B-ORG
組	I-ORG
作	O
出	O
準	O
備	O
，	O
決	O
定	O
於	O
同	O
年	O
7	O
月	O
展	O
開	O
工	O
程	O
，	O
為	O
球	O
場	O
更	O
換	O
成	O
第	O
3	O
代	O
仿	O
真	O
草	O
草	O
皮	O
。	O

重	O
定	O
向	O
#	O
细	B-LOC
鼩	I-LOC
鼱	I-LOC

'	O
'	O
'	O
行	O
政	O
院	O
農	O
業	O
委	O
員	O
會	O
種	O
苗	O
改	O
良	O
繁	O
殖	O
場	O
'	O
'	O
'	O
（	O
簡	O
稱	O
'	O
'	O
'	O
種	O
苗	O
改	O
良	O
繁	O
殖	O
場	O
'	O
'	O
'	O
、	O
'	O
'	O
'	O
種	O
改	O
場	O
'	O
'	O
'	O
）	O
，	O
為	O
行	B-ORG
政	I-ORG
院	I-ORG
農	I-ORG
業	I-ORG
委	I-ORG
員	I-ORG
會	I-ORG
下	O
的	O
四	O
級	O
機	O
構	O
，	O
專	O
門	O
負	O
責	O
研	O
究	O
與	O
改	O
良	O
臺	O
灣	O
農	O
作	O
物	O
與	O
園	O
藝	O
作	O
物	O
種	O
苗	O
。	O

《	O
學	B-ORG
警	I-ORG
狙	I-ORG
擊	I-ORG
》	O

#	O
失	B-LOC
竊	I-LOC
的	I-LOC
一	I-LOC
代	I-LOC

F	O
i	O
l	O
e	O
:	O
D	O
r	O
i	O
v	O
e	O
i	O
n	O
#	O
G	O
y	O
u	O
d	O
o	O
n	O
.	O
j	O
p	O
g	O
|	O
本	O
州	O
四	O
國	O
連	O
絡	O
橋	O
淡	B-LOC
路	I-LOC
服	O
務	O
區	O
所	O
販	O
賣	O
之	O
-	O
{	O
z	O
h	O
-	O
h	O
a	O
n	O
s	O
:	O
牛	O
肉	O
饭	O
;	O
z	O
h	O
-	O
h	O
k	O
:	O
牛	O
肉	O
飯	O
;	O
z	O
h	O
-	O
t	O
w	O
:	O
牛	O
丼	O
;	O
}	O
-	O

#	O
近	B-ORG
地	I-ORG
小	I-ORG
行	I-ORG
星	I-ORG
追	I-ORG
踪	I-ORG

重	O
定	O
向	O
#	O
殼	B-LOC
層	I-LOC
星	I-LOC

R	O
E	O
D	O
I	O
R	O
E	O
C	O
T	O
#	O
葡	B-ORG
萄	I-ORG
牙	I-ORG
裔	I-ORG
巴	I-ORG
西	I-ORG
人	I-ORG

重	O
定	O
向	O
#	O
凱	B-LOC
薩	I-LOC
宮	I-LOC
酒	I-LOC
店	I-LOC

#	O
#	O
唐	B-PER
佳	I-PER
庶	I-PER
#	O
(	O
2	O
0	O
0	O
5	O
-	O
2	O
0	O
0	O
6	O
)	O
†	O

#	O
英	B-LOC
国	I-LOC

太	B-ORG
平	I-ORG
湖	I-ORG
#	O
(	I-ORG
霹	I-ORG
雳	I-ORG
)	I-ORG
，	O
位	O
于	O
马	O
来	O
西	O
亚	O
霹	O
雳	O
州	O
太	O
平	O
市	O

石	B-PER
雄	I-PER

西	B-LOC
洋	I-LOC
菜	I-LOC

R	O
E	O
D	O
I	O
R	O
E	O
C	O
T	O
#	O
林	B-PER
纳	I-PER
斯	I-PER
·	I-PER
托	I-PER
瓦	I-PER
兹	I-PER

#	O
多	B-LOC
爾	I-LOC
多	B-LOC
涅	I-LOC
省	I-LOC
的	O
松	B-LOC
露	I-LOC
。	O

香	B-LOC
港	I-LOC
日	I-LOC
佔	I-LOC
時	I-LOC
期	I-LOC

在	O
C	O
o	O
r	O
e	O
l	O
於	O
2	O
0	O
0	O
1	O
年	O
8	O
月	O
終	O
止	O
L	O
i	O
n	O
u	O
x	O
的	O
業	O
務	O
後	O
，	O
其	O
系	O
統	O
源	O
始	O
碼	O
及	O
開	O
發	O
人	O
員	O
給	O
X	B-ORG
a	I-ORG
n	I-ORG
d	I-ORG
r	I-ORG
o	I-ORG
s	I-ORG
公	O
司	O
收	O
購	O
，	O
然	O
而	O
C	O
o	O
r	O
e	O
l	O
自	O
身	O
也	O
是	O
X	O
a	O
n	O
d	O
r	O
o	O
s	O
的	O
股	O
東	O
之	O
一	O
，	O
因	O
此	O
算	O
是	O
把	O
L	O
i	O
n	O
u	O
x	O
業	O
務	O
售	O
予	O
子	O
公	O
司	O
。	O

#	O
西	B-PER
塞	I-PER
罗	I-PER

R	O
E	O
D	O
I	O
R	O
E	O
C	O
T	O
#	O
科	B-LOC
尔	I-LOC
切	I-LOC
斯	I-LOC
特	I-LOC

林	B-PER
仲	I-PER
秋	I-PER
①	O

重	O
定	O
向	O
#	O
马	B-PER
蒂	I-PER
亚	I-PER
斯	I-PER
·	I-PER
伯	I-PER
奇	I-PER

安	O
那	O
迪	O
爾	O
#	O
'	O
'	O
A	O
n	O
a	O
r	O
d	O
i	O
l	O
'	O
'	O
None	O
兒	O
子	O
，	O
即	O
塔	B-PER
爾	I-PER
-	I-PER
阿	I-PER
達	I-PER
瑞	I-PER
安	I-PER
。	O

R	O
E	O
D	O
I	O
R	O
E	O
C	O
T	O
#	O
奉	B-LOC
化	I-LOC
市	I-LOC

譚	B-PER
兆	I-PER
偉	I-PER
（	O
T	O
a	O
m	O
#	O
S	O
i	O
u	O
#	O
W	O
a	O
i	O
）	O

R	O
E	O
D	O
I	O
R	O
E	O
C	O
T	O
#	O
贝	B-LOC
尔	I-LOC
德	I-LOC
朗	I-LOC

元	B-PER
斌	I-PER
—	O
—	O
藝	O
人	O

#	O
1	B-ORG
9	I-ORG
5	I-ORG
4	I-ORG
年	I-ORG
#	O
-	O
#	O
八	O
強	O

R	O
E	O
D	O
I	O
R	O
E	O
C	O
T	O
塞	B-PER
西	I-PER
尔	I-PER
·	I-PER
罗	I-PER
兹	I-PER

奥	B-PER
利	I-PER
维	I-PER
耶	I-PER
·	I-PER
潘	I-PER
尼	I-PER
斯	I-PER

#	O
四	B-LOC
川	I-LOC
省	I-LOC

#	O
黑	B-LOC
龙	I-LOC
江	I-LOC
省	I-LOC

'	O
'	O
'	O
施	O
恩	O
祖	O
'	O
'	O
'	O
，	O
浙	O
江	O
绍	O
兴	O
人	O
，	O
是	O
一	O
名	O
清	B-LOC
朝	I-LOC
政	O
治	O
人	O
物	O
。	O
监	O
生	O
出	O
身	O
。	O

宇	B-PER
佐	I-PER
美	I-PER
定	I-PER
滿	I-PER
－	O
上	B-PER
杉	I-PER
謙	I-PER
信	I-PER
越	O
後	O
流	O
軍	O
學	O
的	O
軍	O
師	O

1	O
0	O
月	O
2	O
6	O
日	O
，	O
於	O
官	O
方	O
網	O
頁	O
宣	O
佈	O
將	O
演	O
出	O
人	O
氣	O
作	O
家	O
湊	B-PER
佳	I-PER
苗	I-PER
原	O
作	O
的	O
懸	O
疑	O
電	O
影	O
《	O
白	O
雪	O
公	O
主	O
殺	O
人	O
事	O
件	O
》	O
。	O

S	B-ORG
h	I-ORG
o	I-ORG
w	I-ORG
!	I-ORG
#	O
音	I-ORG
樂	I-ORG
中	I-ORG
心	I-ORG

#	O
安	B-LOC
德	I-LOC
森	I-LOC
台	I-LOC
地	I-LOC

R	O
E	O
D	O
I	O
R	O
E	O
C	O
T	O
#	O
駭	B-LOC
黎	I-LOC
朋	I-LOC
猜	I-LOC

申	B-PER
翼	I-PER
熙	I-PER

#	O
四	B-ORG
川	I-ORG
音	I-ORG
乐	I-ORG
学	I-ORG
院	I-ORG

:	O
#	O
歌	O
︰	O
E	O
G	O
O	O
I	O
S	O
T	O
（	O
V	O
o	O
c	O
a	O
l	O
:	O
c	O
h	O
e	O
l	O
l	O
y	O
）	O
（	O
A	B-ORG
n	I-ORG
i	I-ORG
p	I-ORG
l	I-ORG
e	I-ORG
x	I-ORG
）	O

作	O
为	O
之	O
前	O
优	O
异	O
服	O
役	O
的	O
回	O
报	O
，	O
1	O
8	O
0	O
8	O
年	O
莫	O
利	O
托	O
被	O
册	O
封	O
为	O
帝	O
国	O
伯	O
爵	O
，	O
并	O
被	O
授	O
予	O
了	O
巴	O
登	O
的	O
查	O
尔	O
斯	O
·	O
弗	O
里	O
德	O
里	O
希	O
大	O
十	O
字	O
勋	O
章	O
。	O
1	O
8	O
0	O
9	O
年	O
2	O
月	O
莫	O
利	O
托	O
开	O
始	O
在	O
马	O
塞	O
纳	O
元	O
帅	O
的	O
第	O
四	O
军	O
指	O
挥	O
第	O
三	O
师	O
，	O
并	O
在	O
4	O
月	O
份	O
参	O
加	O
了	O
诺	B-LOC
伊	I-LOC
马	I-LOC
克	I-LOC
特	I-LOC
战	O
役	O
。	O
在	O
大	O
兵	O
团	O
占	O
领	O
维	O
也	O
纳	O
并	O
准	O
备	O
兵	O
渡	O
多	O
瑙	O
河	O
时	O
，	O
莫	O
利	O
托	O
占	O
领	O
的	O
洛	O
伯	O
岛	O
成	O
为	O
了	O
法	O
军	O
北	O
上	O
的	O
跳	O
板	O
。	O
在	O
接	O
下	O
来	O
的	O
埃	O
斯	O
佩	O
恩	O
-	O
埃	O
斯	O
灵	O
战	O
役	O
中	O
，	O
莫	O
利	O
托	O
指	O
挥	O
第	O
三	O
师	O
在	O
阿	O
斯	O
佩	O
恩	O
多	O
次	O
击	O
败	O
了	O
奥	O
军	O
如	O
潮	O
水	O
般	O
的	O
进	O
攻	O
，	O
并	O
和	O
第	O
四	O
军	O
一	O
起	O
坚	O
持	O
到	O
法	O
军	O
的	O
完	O
全	O
撤	O
离	O
。	O
6	O
个	O
星	O
期	O
的	O
瓦	O
格	O
拉	O
姆	O
战	O
役	O
中	O
他	O
同	O
样	O
表	O
现	O
出	O
色	O
。	O

國	B-ORG
立	I-ORG
臺	I-ORG
灣	I-ORG
大	I-ORG
學	I-ORG
政	O
治	O
學	O
系	O
畢	O
業	O
(	O
1	O
9	O
5	O
7	O
年	O
)	O

马	B-PER
亨	I-PER
德	I-PER
拉	I-PER
,	I-PER
#	O
尼	I-PER
泊	I-PER
尔	I-PER
国	I-PER
王	I-PER
#	O
(	O
1	O
9	O
6	O
0	O
年	O
)	O

陳	B-PER
慧	I-PER
琳	I-PER
#	O
-	O
#	O
寶	O
萊	O
塢	O
生	O
死	O
戀	O

R	O
E	O
D	O
I	O
R	O
E	O
C	O
T	O
#	O
双	B-LOC
斑	I-LOC
疹	I-LOC
贝	I-LOC

涞	O
流	O
河	O
自	O
西	O
北	O
南	O
流	O
，	O
绕	O
京	O
三	O
面	O
，	O
东	O
入	O
于	O
曲	O
江	O
，	O
其	O
北	O
东	O
流	O
为	O
按	O
出	O
河	O
。	O
又	O
有	O
御	O
河	O
、	O
沙	O
河	O
、	O
黑	O
河	O
、	O
潢	O
河	O
、	O
鸭	O
子	O
河	O
、	O
他	O
鲁	O
河	O
、	O
狼	O
河	O
、	O
苍	O
耳	O
河	O
、	O
辋	O
子	O
河	O
、	O
胪	O
朐	O
河	O
（	O
今	O
称	O
克	B-LOC
鲁	I-LOC
伦	I-LOC
河	I-LOC
）	O
、	O
阴	O
凉	O
河	O
、	O
猪	O
河	O
、	O
鸳	O
鸯	O
湖	O
、	O
兴	O
国	O
惠	O
民	O
湖	O
、	O
广	O
济	O
湖	O
、	O
盐	O
泺	O
、	O
百	O
狗	O
泺	O
、	O
大	O
神	O
淀	O
等	O
河	O
流	O
湖	O
泊	O
。	O
山	O
川	O
有	O
马	O
盂	O
山	O
、	O
兔	O
儿	O
山	O
、	O
野	O
鹊	O
山	O
、	O
盐	O
山	O
、	O
凿	O
山	O
、	O
松	O
山	O
、	O
平	O
地	O
松	O
林	O
、	O
大	O
斧	O
山	O
、	O
列	O
山	O
、	O
屈	O
劣	O
山	O
、	O
勒	O
得	O
山	O
。	O

英	B-ORG
格	I-ORG
蘭	I-ORG
2	I-ORG
1	I-ORG
歲	I-ORG
以	I-ORG
下	I-ORG
足	I-ORG
球	I-ORG
代	I-ORG
表	I-ORG
隊	I-ORG

记	B-LOC
忆	I-LOC
T	I-LOC
细	I-LOC
胞	I-LOC
，	O
一	O
种	O
抗	O
感	O
染	O
细	O
胞	O

李	B-PER
己	I-PER
雨	I-PER
#	O
飾	O
演	O
#	O
R	O
o	O
c	O
k	O
y	O
／	O
張	O
宇	O
鎮	O

#	O
蔡	B-PER
元	I-PER
培	I-PER

#	O
迈	B-LOC
阿	I-LOC
密	I-LOC
-	I-LOC
戴	I-LOC
德	I-LOC
县	I-LOC

長	B-ORG
崎	I-ORG
本	I-ORG
線	I-ORG
(	O
鳥	O
-	O
{	O
栖	O
}	O
-	O
-	O
肥	O
前	O
大	O
浦	O
)	O

#	O
#	O
芝	B-PER
拉	I-PER
華	I-PER
特	I-PER
（	O
J	O
o	O
s	O
é	O
#	O
L	O
u	O
i	O
s	O
#	O
C	O
h	O
i	O
l	O
a	O
v	O
e	O
r	O
t	O
，	O
1	O
9	O
9	O
1	O
~	O
0	O
0	O
、	O
2	O
0	O
0	O
3	O
~	O
0	O
4	O
）	O

#	O
喀	B-LOC
山	I-LOC
體	I-LOC
育	I-LOC
場	I-LOC

#	O
戴	B-LOC
高	I-LOC
乐	I-LOC
广	I-LOC
场	I-LOC

正	B-ORG
十	I-ORG
二	I-ORG
面	I-ORG
體	I-ORG

#	O
罗	B-PER
杰	I-PER
·	I-PER
摩	I-PER
尔	I-PER
#	O
飾	O
#	O
R	O
a	O
d	O
i	O
o	O
#	O
A	O
n	O
n	O
o	O
u	O
n	O
c	O
e	O
r	O
#	O
V	O
o	O
i	O
c	O
e	O

#	O
江	B-LOC
苏	I-LOC
省	I-LOC

#	O
二	B-PER
條	I-PER
齊	I-PER
敬	I-PER

重	O
定	O
向	O
#	O
頜	B-LOC
鱗	I-LOC
副	I-LOC
紫	I-LOC
魚	I-LOC

#	O
'	O
'	O
'	O
高	B-PER
志	I-PER
森	I-PER
'	O
'	O
'	O

巴	B-LOC
格	I-LOC
達	I-LOC
省	I-LOC

#	O
1	O
月	O
1	O
8	O
日	O
#	O
击	O
沉	O
荷	B-LOC
兰	I-LOC
貨	O
客	O
船	O
1	O
隻	O
。	O

r	O
e	O
d	O
i	O
r	O
e	O
c	O
