دايو	B-ORG
(	I-ORG
شركة	I-ORG
)	I-ORG

كانت	O
المدة	O
القانونية	O
السابقة	O
لأسبوع	O
العمل	O
هي	O
39	O
ساعة،	O
والتي	O
حددها	O
فرنسوا	B-PER
ميتيران،	I-PER
وهو	O
عضو	O
أيضًا	O
في	O
الحزب	B-ORG
الاشتراكي	I-ORG
.	O

تحويل	O
نادي	B-ORG
باسوش	I-ORG
دي	I-ORG
فيريرا	I-ORG

حكم	B-PER
(	I-PER
كرة	I-PER
قدم	I-PER
)	I-PER

ديفيد	B-PER
نالبانديان	I-PER
''	O
(	O
الجولة	O
الثالثة	O
)	O

(	O
أقاليم	B-LOC
ما	I-LOC
وراء	I-LOC
البحار	I-LOC
)	O

تحويل	O
دهنو	B-LOC
(	I-LOC
تایباد	I-LOC
)	I-LOC

أليك	B-PER
بالدوين	I-PER
-	O
30	B-ORG
روك	I-ORG

تحويل	O
شور	B-LOC
بلاغ	I-LOC
(	I-LOC
مقاطعة	I-LOC
غرمي	I-LOC
)	I-LOC

تحويل	O
رضا	B-PER
عبد	I-PER
العال	I-PER

تحويل	O
برونزويك	B-LOC
(	I-LOC
جورجيا	I-LOC
)	I-LOC

تحويل	O
سانت	B-LOC
فينسنت	I-LOC
والغرينادين	I-LOC

الدكتوراه	O
الفخرية	O
من	O
جامعة	B-ORG
المنصورة	I-ORG
.	O

تحويل	O
يحيى	B-PER
بن	I-PER
سرافيون	I-PER

ألكسندر	B-PER
فلمنج	I-PER
طبيب	O
أسكتلندي	O

'	O
''	O
ماتس	B-PER
ويلندر	I-PER
(	O
البطل	O
)	O
'	O
''	O

تحويل	O
ميرزا	B-PER
طاهر	I-PER
أحمد	I-PER

العلامة	O
اللغوي	O
المحدت	O
'	O
''	O
أبو	B-ORG
تراب	I-ORG
الظاهري	I-ORG
''	O
'	O
--	O
وهو	O
من	O
المعاصرين	O
وتوفي	O
من	O
سنوات	O
قريبة	O
.	O

تحويل	O
روح	B-PER
الله	I-PER
الخميني	I-PER

تحويل	O
فيلمور	B-LOC
(	I-LOC
يوتا	I-LOC
)	I-LOC

الدكتور	O
عبد	B-PER
الله	I-PER
بن	I-PER
عبد	B-PER
العزيز	I-PER
الربيعة	I-PER

;	O
أفريقيا	B-ORG
(	O
5	O
)	O

تحويل	O
محمد	B-PER
سعيد	I-PER
رمضان	I-PER
البوطي	I-PER

تحويل	O
باه	B-LOC
راه	I-LOC
غب	I-LOC
(	I-LOC
قيلاب	I-LOC
)	I-LOC

تحويل	O
سيريديجيون	B-ORG
(	I-ORG
دائرة	I-ORG
انتخابية	I-ORG
في	I-ORG
المملكة	I-ORG
المتحدة	I-ORG
)	I-ORG

فاروق	B-PER
الشرع	I-PER
وزير	O
خارجية	O
سابق	O
ونائب	O
الرئيس	O
سابق	O

تحويل	O
زهرة	B-LOC
الحواشي	I-LOC
الخيطية	I-LOC

تحويل	O
برنار	B-PER
هنري	I-PER
ليفي	I-PER

تحويل	O
جامع	B-ORG
الشيخ	I-ORG
زايد	I-ORG

وهو	O
مرتبط	O
شونن	B-ORG
جمب	I-ORG
الأسبوعية	I-ORG
.	O

منتخب	B-ORG
السويد	I-ORG
لكرة	I-ORG
القدم	I-ORG
للسيدات	I-ORG

وسجل	O
عدة	O
اسطوانات	O
مع	O
صديقه	O
وزميله	O
العازف	O
جيري	B-PER
ريد،	I-PER
الذي	O
كان	O
فنانا	O
ناجحا	O
بنفسه	O
.	O

تعلم	O
في	O
جامعة	B-ORG
برنستون	I-ORG
.	O

تحويل	O
كرانمور	B-LOC
(	I-LOC
ويسكونسن	I-LOC
)	I-LOC

الإشارة	O
المرجعية	O
له	O
وفق	O
الملحق	B-ORG
الدوري	I-ORG
لمدارات	I-ORG
الكويكبات	I-ORG
هي	O
MPO244230	O

وهي	O
جزء	O
من	O
سلسلة	O
``	O
رحلات	B-ORG
غير	I-ORG
عادية	I-ORG
''	O

تحويل	O
وزارة	B-ORG
الثقافة	I-ORG
(	I-ORG
مصر	I-ORG
)	I-ORG

تحويل	O
جان	B-PER
بيير	I-PER
باد	I-PER

تحويل	O
إبراهيم	B-PER
بن	I-PER
هلال	I-PER
السجلماسي	I-PER

تحويل	O
فريديريك	B-PER
أوغست	I-PER
بارتولدي	I-PER

حالياً	O
هي	O
موظفة	O
في	O
شركة	O
إنتل	B-ORG
.	O

**رئيس	O
الوزراء	O
–	O
حيدر	B-PER
العبادي،	I-PER
رئيس	B-ORG
الوزراء	I-ORG
العراقي	I-ORG
(	O
2014–حالياً	O
)	O

تحويل	O
تقي	B-PER
مبارك	I-PER
السيابي	I-PER

راشد	B-PER
الشمراني	I-PER
,	O
ناصر	B-PER
القصبي	I-PER
,	O
عبد	B-PER
الله	I-PER
السدحان	I-PER

موطنه	O
الأصلي	O
تركيا	B-LOC
القوقاز	B-LOC
.	O

منتخب	B-ORG
المكسيك	I-ORG
لكرة	I-ORG
القدم	I-ORG

تحويل	O
أحمد	B-PER
عبد	I-PER
اللطيف	I-PER
الأسعد	I-PER

تحويل	O
عبد	B-PER
الله	I-PER
عزام	I-PER

نظمت	O
ضمن	O
ألعاب	B-ORG
عموم	I-ORG
أفريقيا	I-ORG
2003	I-ORG

تحويل	O
الحسين	B-PER
بن	I-PER
طلال	I-PER

تحويل	O
نحل	B-LOC
شمال	I-LOC
أفريقيا	I-LOC

جائزة	B-ORG
النمسا	I-ORG
الكبرى	I-ORG
1977	I-ORG

تحويل	O
جان	B-PER
الثاني	I-PER
ملك	I-PER
فرنسا	I-PER

تحويل	O
سيل	B-LOC
بيتش	I-LOC
(	I-LOC
كاليفورنيا	I-LOC
)	I-LOC

'	O
''	O
شتيفي	B-PER
جراف	I-PER
''	O
'	O
هزم	O
غابرييلا	B-PER
ساباتيني	I-PER
6-4	O
3-6	O
8-6	O

(	O
2001-03	O
)	O
لويس	B-PER
غارسيا	I-PER
فيرنانديز	I-PER

تحويل	O
مصطفى	B-PER
صادق	I-PER
الرافعي	I-PER

تحويل	O
جان	B-PER
فرانسوا	I-PER
لاريوس	I-PER

الولايات	B-LOC
المتحدة	I-LOC
(	O
10،81٪	O
)	O

تحويل	O
عبد	B-PER
المجيد	I-PER
الدغستاني	I-PER

مدرسة	B-ORG
ميكانيكا	I-ORG
ضباط	I-ORG
الصف	I-ORG
البحريين	I-ORG
في	I-ORG
الأرجنتين	I-ORG
.	O

تحويل	O
سكة	B-ORG
حديد	I-ORG
بغداد	I-ORG

شارل	B-PER
ادوار	I-PER
غيوم	I-PER
من	O
سويسرا	B-LOC

تحويل	O
دب	B-LOC
أسود	I-LOC
آسيوي	I-LOC

فيل	B-PER
دنت	I-PER
,	O
''	O
(	O
الجولة	O
الرابعة	O
)	O
''	O

الوادي	B-LOC
الكبير	I-LOC
(	O
Río	O
Guadalquivir	O
)	O

جامعة	B-ORG
باريس	I-ORG
5	I-ORG
-	I-ORG
ديكارت	I-ORG
.	O

أجاممنون	B-PER
على	O
شكل	O
روح	O

شهدت	O
فترة	O
توليه	O
المنصب	O
انتقال	O
مقر	O
جامعة	B-ORG
الدول	I-ORG
العربية	I-ORG
إلى	O
تونس	B-LOC
وانتخاب	O
الشاذلي	B-PER
القليبي	I-PER
أمينا	O
عاما	O
.	O

تحويل	O
لجام	B-LOC
(	I-LOC
تشريح	I-LOC
)	I-LOC

الدكتور	O
الأصولي	O
محمد	B-PER
سعيد	I-PER
رمضان	I-PER
البوطي	I-PER
.	O

المدرسة	B-ORG
المستنصرية	I-ORG
ببغداد	B-LOC
.	O

تحويل	O
مرتفعات	B-LOC
قرة	I-LOC
باغ	I-LOC

الإشارة	O
المرجعية	O
له	O
وفق	O
الملحق	B-ORG
الدوري	I-ORG
لمدارات	I-ORG
الكويكبات	I-ORG
هي	O
MPO245684	O

أرانتشا	B-PER
سانتشيث	I-PER
فيكاريو	I-PER
هيلينا	B-PER
سيكوفا	I-PER

تحويل	O
قصر	B-ORG
طولمه	I-ORG
باغجه	I-ORG

تحويل	O
علياء	B-PER
ملكة	I-PER
الأردن	I-PER

تحويل	O
إيسلي	B-LOC
(	I-LOC
كارولاينا	I-LOC
الجنوبية	I-LOC
)	I-LOC

تحويل	O
خزاعة	B-LOC
(	I-LOC
خان	I-LOC
يونس	I-LOC
)	I-LOC

وكانت	O
هذه	O
الأقسام	O
ترفد	O
القوات	B-ORG
المسلحة	I-ORG
العراقية	I-ORG
بالطواقم	O
الهندسية	O
للمجالات	O
المختلفة	O

تحويل	O
أوفالون	B-LOC
(	I-LOC
ميزوري	I-LOC
)	I-LOC

تحويل	O
جول	B-PER
دومون	I-PER
دو	I-PER
