Se	O
sijaitsee	O
Borneon	B-LOC
saarella	O
ja	O
on	O
Etelä-Kalimantanin	B-LOC
provinssin	O
pääkaupunki	O
.	O

Rajanaapureita	O
ovat	O
pohjoisessa	O
Verdal	B-LOC
,	O
etelässä	O
Stjørdal	B-LOC
ja	O
lännessä	O
Frosta	B-LOC
.	O

Baikonur	B-LOC
(	O
Bayqoñır	O
)	O
(	O
vuokrattu	O
Venäjälle	B-LOC
)	O

Bangladesh	B-LOC
,	O
Intia	B-LOC
,	O
Pakistan	B-LOC

``	O
What	B-ORG
You	I-ORG
Want	I-ORG
''	O

1960-luvulla	O
oli	O
jo	O
käynyt	O
selväksi	O
,	O
että	O
sekä	O
Canadian	B-ORG
National	I-ORG
Railwayn	I-ORG
(	O
CN	O
)	O
että	O
Canadian	B-ORG
Pacific	I-ORG
Railwayn	I-ORG
(	O
CPR	O
)	O
matkustajajunat	O
olivat	O
kannattamattomia	O
.	O

Santeri	B-PER
Nuorteva	I-PER
(	O
1907–1908	O
,	O
1909–1911	O
)	O

Wilanówin	B-ORG
palatsi	I-ORG
,	O
Varsova	B-LOC
,	O
Puola	B-LOC

Matt	B-PER
McGrath	I-PER
(	O
USA	O
)	O

Aktiiviurallaan	O
hän	O
pelasi	O
pisimpään	O
Chelsean	B-ORG
,	O
Celticin	B-ORG
ja	O
Derby	B-ORG
Countyn	I-ORG
joukkueessa	O
.	O

Taloustieteilijä	O
Julian	B-PER
Simon	I-PER
kirjoitti	O
,	O
että	O
väestönkasvu	O
ei	O
ole	O
ongelma	O
ja	O
kekseliäs	O
ihmiskunta	O
sopeutuu	O
olosuhteisiin	O
.	O

OHJAUS	O
Suomen	B-ORG
Työväenpuolue	I-ORG
STP	I-ORG

Kapverdenviistäjä	B-LOC
,	O
''Pterodroma	O
feae	O
''	O

Joitain	O
elokuvia	O
on	O
esitetty	O
Yleisradion	B-LOC
kanavilla	O
.	O

'	O
''	O
Niko	B-PER
Kranjčar	I-PER
''	O
'	O

Yhteensä	O
Elustondo	O
pelasi	O
kaudella	B-LOC
2014–2015	I-LOC
neljä	O
sarjaottelua	O
ja	O
teki	O
yhden	O
maalin	O
.	O

OHJAUS	O
The	B-ORG
Reflecting	I-ORG
Skin	I-ORG
–	I-ORG
lapsuuden	I-ORG
loppu	I-ORG

Se	O
sijaitsee	O
Vltava-joen	B-LOC
varrella	O
kohdassa	O
,	O
jossa	O
Malše	O
yhtyy	O
jokeen	O
.	O

Kauppakeskuksen	O
rakennuttaja	O
on	O
Kesko	B-ORG
.	O

Franziska	B-PER
Hildebrand	I-PER
Franziska	B-PER
Preuß	I-PER
Arnd	B-PER
Peiffer	I-PER
Simon	B-PER
Schempp	I-PER

Tuntemattomaksi	O
jääneestä	O
syystä	O
he	O
kätkivät	O
uhrin	O
pään	O
Hello	B-PER
Kitty	I-PER
-nuken	O
pään	O
sisään	O
.	O

Landkreis	B-LOC
Stade	I-LOC
(	O
Saksa	B-LOC
)	O

Hänellä	O
oli	O
myös	O
pieni	O
sivurooli	O
sarjassa	O
Breaking	B-ORG
Bad	I-ORG
''	O
.	O

Lisa	B-PER
Kudrow	I-PER
–	O
Phoebe	B-PER
Buffay	I-PER

Niistä	O
suurimmat	O
ovat	O
Missouri	B-LOC
,	O
Ohio	B-LOC
ja	O
Arkansas	B-LOC
.	O

Kingston	B-ORG
Frontenacs	I-ORG
(	O
OHL	B-ORG
)	O

'	O
''	O
Innsbruck	B-LOC
''	O
'	O

Petri	B-PER
Lindroos	I-PER
–	O
laulu	O
,	O
kitara	O

Se	O
tunnetaan	O
erityisesti	O
Queen	B-PER
Latifahin	I-PER
roolisuorituksesta	O
,	O
joka	O
oli	O
kriitikoiden	O
ylistämä	O
,	O
mutta	O
itse	O
elokuva	O
ei	O
menestynyt	O
yhtä	O
hyvin	O
arvosteluissa	O
.	O

Drew	B-PER
Nicholas	I-PER
(	O
Benetton	B-ORG
Treviso	I-ORG
)	O

Losserokalat	B-LOC
''Ostraciidae	O
''	O
sekä	O
''Aracanidae	O
''	O
(	O
heimo	O
tai	O
edellisen	O
alaheimo	O
)	O
,	O
koralli-	O
ja	O
kallioriutoilla	O
sekä	O
niiden	O
läheisillä	O
matalikoilla	O
;	O
joitakin	O
avomeren	O
lajeja	O

Joukkueen	O
apuvalmentaja	O
Pasi	B-PER
Nurminen	I-PER
