1972	B-ORG
–	O
'	O
''	O
1	O
vieta	O
''	O
'	O

'	O
''	O
Pastor	B-PER
Maldonado	I-PER
''	O
'	O

'	O
''	O
Fafė	O
''	O
'	O
–	O
miestas	O
šiaurės	O
Portugalijoje	B-LOC
,	O
netoli	O
Bragos	B-LOC
.	O

Domenico	B-PER
Modugno	I-PER
ir	O
Claudio	B-PER
Villa	I-PER

Ožkabarzdis	B-LOC
asiūklis	I-LOC
(	O
''Equisetum	O
pratense	O
''	O
)	O

HIC	O
galima	O
rasti	O
dokumentinių	O
ir	O
meninių	O
filmų	O
DVD	B-ORG
kolekciją	O
.	O

PERADRESAVIMAS	O
Khunano	B-ORG
nacionalinis	I-ORG
parkas	I-ORG

2008	B-ORG
m.	I-ORG
Lietuvos	I-ORG
Respublikos	I-ORG
Seimo	I-ORG
rinkimai	I-ORG
.	O

FK	B-ORG
Borac	I-ORG
Čačak	I-ORG

Nelly	B-PER
Furtado	I-PER
–	O
All	B-ORG
Good	I-ORG
Things	I-ORG
(	I-ORG
Come	I-ORG
to	I-ORG
an	I-ORG
End	I-ORG
)	I-ORG
“	I-ORG

Eurovizijos	B-ORG
dainų	I-ORG
konkursas	I-ORG
2010	I-ORG

Tam	O
ji	O
panaudojo	O
visas	O
monopolizuotas	O
žiniasklaidos	B-ORG
priemones	O
.	O

Palaidotas	O
Jasna	B-ORG
Goros	I-ORG
vienuolyne	I-ORG
.	O

Jomis	O
vėliau	O
naudojosi	O
Jamblichas	B-PER
,	O
šv	O
.	O

'	O
''	O
Dedza	O
''	O
'	O
(	O
)	O
–	O
miestas	O
Malavyje	B-LOC
,	O
Centriniame	B-LOC
regione	I-LOC
,	O
į	O
pietryčius	O
nuo	O
Lilongvės	B-LOC
,	O
prie	O
Mozambiko	B-LOC
sienos	O
.	O

Planetes	B-ORG
''	O
(	O
2001–2004	O
,	O
publikuotas	O
žurnale	O
''Weekly	O
Morning	O
''	O
,	O
Kodansha	B-ORG
)	O

FK	B-ORG
Napredak	I-ORG
Kruševac	I-ORG

Jį	O
sukūrė	O
Firaxis	B-ORG
Games“	I-ORG
studija	O
.	O

PERADRESAVIMAS	O
Levi	B-ORG
Strauss	I-ORG
&	I-ORG
Co	I-ORG
.	I-ORG

Parengė	O
M.	B-PER
Mažvydo	I-PER
raštų	O
fotografuotinį	O
leidimą	O
.	O

Žemutinių	B-LOC
Provincijų	I-LOC
istorija	I-LOC

Pilietinės	B-ORG
demokratijos	I-ORG
partija	I-ORG

Kabompas	B-LOC
(	I-LOC
upė	I-LOC
)	I-LOC
''	O
.	O

Quentin	B-PER
Tarantino	I-PER
–	O
balsas	O
už	O
kadro	O

treneriu	O
