അഭയദേവ്	B-PER
എഴുതിയ	O
10	O
ഗാനങ്ങൾക്ക്	O
പി.എസ്	O
.	O

തിരിച്ചുവിടുക	O
ഡെൽഹി	B-ORG
മെട്രോ	I-ORG
റെയിൽവേ	I-ORG

ഇന്ത്യ	B-LOC
,	O
ജപ്പാൻ	B-LOC
,	O
ചൈന	B-LOC
എന്നീ	O
രാജ്യങ്ങളിൽ	O
തവിടെണ്ണയെ	O
പാചക	O
ആവശ്യത്തിന്	O
ഉപയോഗിച്ചു	O
വരുന്നു	O
.	O

'	O
''	O
ചെത്തി	B-LOC
''	O
'	O

വിനീത്]]	O
,	O
ലക്ഷ്മി	B-PER
ഗോപാലസ്വാമി	I-PER
,	O
മണിക്കുട്ടൻ	B-PER

*മികച്ച	O
സംവിധായകൻ	O
-	O
ഷാജി	B-PER
എൻ.	I-PER
കരുൺ	I-PER

കേരള	B-ORG
കോൺഗ്രസ്‌	I-ORG
(	I-ORG
എം	I-ORG
)	I-ORG

'	O
''	O
കൊളോസിയം	B-ORG
''	O
'	O
''	O
Colosseo	O
''	O

യുണൈറ്റഡ്	B-ORG
ന്യൂസ്	I-ORG
ഓഫ്	I-ORG
ഇന്ത്യ	I-ORG

തിരിച്ചുവിടുക	O
സി.പി.ഐ.	B-ORG
(	I-ORG
എം.എൽ	I-ORG
)	I-ORG

സാൾട്ട്	B-ORG
ലേക്ക്	I-ORG
സ്റ്റേഡിയം	I-ORG
,	I-ORG
കൊൽക്കത്ത	I-ORG

നെടുമുടി	B-PER
വേണു	I-PER
–	O
പള്ളിയിലെ	O
അച്ചൻ	O

യാത്രകൾക്കൊടുവിലെ	O
ഇരുപതു	O
വയസ്സ്	O
തികഞ്ഞിട്ടില്ലായിരുന്ന	O
അബലാർഡ്	O
പാരിസിലിലെത്തി	B-LOC
.	O

അതിനുശേഷം	O
ഫിയോദറിനെയും	O
സഹോദരൻ	O
മിഖായേലിനെയും	O
സെന്റ്	B-LOC
പീറ്റേഴ്സ്ബർഗിലുള്ള	I-LOC
സൈനിക	O
അക്കാദമിയിലേക്ക്‌	O
പഠനത്തിനയച്ചു	O
.	O

അവിടെ	O
നടന്ന	O
നാട്ടുരാജ്യ	O
പ്രജാസമ്മേളനത്തിൽ	O
തിരുവതാംകൂറിന്റെ	B-LOC
പ്രതിനിധിയായി	O
പ്രസംഗിച്ചു	O
.	O

പിന്നീട്	O
അമ്പലത്തിന്റെ	O
നടത്തിപ്പ്	O
അവകാശം	O
സാമൂതിരിയുടെ	B-LOC
കൈയിൽനിന്ന്	O
തിരുവിതാംകൂർ	B-LOC
ഭരണത്തിന്	O
കൈമാറപ്പെട്ടു	O
.	O

പാറമേക്കാവ്	B-ORG
ഭഗവതിയും	I-ORG
ആദ്യകാലങ്ങളിൽ	O
ഈ	O
ക്ഷേത്രത്തിൽ	O
തന്നെയായിരുന്നു	O
പ്രതിഷ്ഠിക്കപ്പെട്ടിരുന്നത്	O
.	O

എന്നാൽ	O
,	O
പ്രശസ്‌ത	O
പണ്ഡിതനായ	O
കെ.വി.	B-PER
ശർമയാണ്‌	I-PER
ചോമാതിരിയുടെ	O
കാലം	O
കണ്ടെത്തിയത്‌	O
.	O

തിരിച്ചുവിടുക	O
മെക്സിക്കോ	B-ORG
ദേശീയ	I-ORG
ഫുട്ബോൾ	I-ORG
ടീം	I-ORG

കടലിന്നഗാധമാം	O
നീലിമയിൽ	O
–	O
കെ.ജെ.	B-PER
യേശുദാസ്	I-PER
,	O
കെ.എസ്.	B-PER
ചിത്ര	I-PER

തിരിച്ചുവിടുക	O
ആനി	B-PER
ഷാജി	I-PER
കൈലാസ്	I-PER

ഇത്	O
ഗൂഗിളിന്റെ	B-ORG
ഓപ്പൺസോഴ്സ്	O
പ്രതിപത്തിയുടെ	O
മുകളിൽ	O
സംശയത്തിനു	O
വഴിവച്ചു	O
.	O

പ്രസിദ്ധ	O
തീർത്ഥാടനകേന്ദ്രമായ	O
മലയാറ്റൂരിൽ	B-LOC
നിന്ന്	O
15	O
കിലോമീറ്റർ	O
ദൂരെയാണ്	O
ഈ	O
സ്ഥലം	O
.	O

ഡെൽഹി	B-LOC
പൊലെയുള്ള	O
ചില	O
നഗരങ്ങളിൽ	O
,	O
സമീപ	O
പ്രദേശങ്ങളിൽ	O
കൃഷിസ്ഥലം	O
ഒരുക്കുന്നതിനു	O
