ПЕРЕНАПРАВЛЕННЯ	O
Російсько-турецька	B-ORG
війна	I-ORG
(	I-ORG
1877—1878	I-ORG
)	I-ORG

Список	B-LOC
муніципалітетів	I-LOC
департаменту	I-LOC
Нижній	I-LOC
Рейн	I-LOC

Journal	B-ORG
of	I-ORG
Cell	I-ORG
Science	I-ORG

Входить	O
до	O
складу	O
комуни	O
Посешть	B-LOC
.	O

Температура	B-ORG
самозаймання	I-ORG
466	O
°С	O
.	O

Список	B-LOC
муніципалітетів	I-LOC
департаменту	I-LOC
Жиронда	I-LOC

вчителював	O
у	O
Чернігівській	B-LOC
губернії	I-LOC
.	O

''Centro	O
Municipal	O
de	O
las	O
Artes	O
de	O
Alcorcon	O
''	O
,	O
Мадрид	B-LOC

Ле-Лоррен	B-LOC
(	I-LOC
Мартиніка	I-LOC
)	I-LOC

Казахстан	B-LOC
(	O
358	O
тис	O
.	O

'	O
''	O
Ален	B-PER
Шаба	I-PER
''	O
'	O

Входить	O
до	O
складу	O
комуни	O
Албак	B-LOC
.	O

Дитинство	O
і	O
юність	O
провів	O
у	O
Куп'янську	B-LOC
.	O

У	O
Італії	B-LOC
навпаки	O
,	O
нещасний	O
день	O
у	O
п'ятницю	O
17-го	O
.	O

'	O
''	O
Плела́н-ле-Гран	O
''	O
'	O
,	O
Плелан-ле-Ґран	O
(	O
)	O
—	O
муніципалітет	B-LOC
у	O
Франції	B-LOC
,	O
у	O
регіоні	O
Бретань	B-LOC
,	O
департамент	O
Іль	B-LOC
і	I-LOC
Вілен	I-LOC
.	O

ПЕРЕНАПРАВЛЕННЯ	O
15-й	B-ORG
армійський	I-ORG
корпус	I-ORG
(	I-ORG
США	I-ORG
)	I-ORG

Входить	O
до	O
складу	O
комуни	O
Цуглуй	B-LOC
.	O

20284	B-ORG
Андрєйлєвін	I-ORG
(	O
Andreilevin	O
)	O

Виступає	O
за	O
«Сєвєрсталь»	B-ORG
(	I-ORG
Череповець	I-ORG
)	I-ORG
у	O
Континентальній	B-ORG
хокейній	I-ORG
лізі	I-ORG
.	O

На	O
одному	O
з	O
випусків	O
RAW	B-PER
хотів	O
поцілувати	O
Розу	B-PER
Мендес	I-PER
але	O
замість	O
цього	O
облив	O
її	O
водою	O
.	O

ПЕРЕНАПРАВЛЕННЯ	O
Томаш	B-PER
Гарріг	I-PER
Масарик	I-PER

Входить	O
до	O
складу	O
комуни	O
Бунешть	B-LOC
.	O

Юрій	B-PER
Вірт	I-PER
(	O
1995—1997	O
)	O

Правив	O
після	O
свого	O
батька	O
Оскара	B-PER
II	I-PER
.	O

Виступає	O
за	O
«Югра»	B-ORG
(	I-ORG
Ханти-Мансійськ	I-ORG
)	I-ORG
у	O
Континентальній	B-ORG
хокейній	I-ORG
лізі	I-ORG
.	O

П'ять	O
сезонів	O
провів	O
у	O
Національній	B-ORG
хокейній	I-ORG
лізі	I-ORG
.	O

Список	B-ORG
округів	I-ORG
штату	I-ORG
Вермонт	I-ORG

«Виставковий	B-ORG
центр»	I-ORG
—	O
22:33	O
,	O
22:44	O
,	O
22:56	O
,	O
23:08	O
,	O
23:20	O
,	O
23:32	O
,	O
23:44	O
,	O
23:55	O
,	O
0:05	O
,	O
0:15	O
,	O
0:25	O

Краснопьоров	B-PER
Олег	I-PER
Володимирович	I-PER

10175	B-ORG
Енона	I-ORG
(	O
Aenona	O
)	O

ПЕРЕНАПРАВЛЕННЯ	O
Мітрохін	B-PER
Сергій	I-PER
Сергійович	I-PER

Північна	B-LOC
провінція	I-LOC
Чолла	I-LOC
(	O
全羅北道	O
,	O
''Чолла-пукто	O
''	O
)	O

«	O
''	O
Скажи	B-ORG
мені	I-ORG
''	O
'»	O

Під	O
час	O
військових	O
дій	O
було	O
дуже	O
важливо	O
не	O
допустити	O
переправи	O
турків	O
через	O
Дунай	B-LOC
.	O

Міль	B-LOC
—	O
типовий	O
кератофаг	O
.	O

Smash	B-ORG
Hits	I-ORG
Awards	I-ORG
—	O
'	O
''	O
Найкращий	O
відеокліп	O
''	O
'	O
за	O
«That	O
Girl»	O

Список	B-LOC
муніципалітетів	I-LOC
департаменту	I-LOC
Уаза	I-LOC

Рамкові	B-ORG
програми	I-ORG
з	I-ORG
наукових	I-ORG
досліджень	I-ORG
та	I-ORG
технологічного	I-ORG
розвитку	I-ORG

ПЕРЕНАПРАВЛЕННЯ	O
Мото	B-ORG
Гран-Прі	I-ORG
Великої	I-ORG
Британії	I-ORG
2014	I-ORG

'	O
''	O
Алекс	B-PER
Рінс	I-PER
''	O
'	O

'	O
''	O
Куржонне́	O
''	O
'	O
(	O
)	O
—	O
муніципалітет	B-LOC
у	O
Франції	B-LOC
,	O
у	O
регіоні	O
Шампань-Арденни	B-LOC
,	O
департамент	O
Марна	B-LOC
.	O

Девід	B-PER
Фаустіно	I-PER
—	O
''Мартін	O
''	O

Пройшов	O
з	O
командою	O
через	O
Першу	B-ORG
футбольну	I-ORG
лігу	I-ORG
та	O
Чемпіонат	B-ORG
Футбольної	I-ORG
Ліги	I-ORG
,	O
сягнувши	O
Прем'єр-ліги	B-ORG
лише	O
в	O
сезоні	B-LOC
2012	I-LOC
/	I-LOC
13	I-LOC
.	O

Architects	B-ORG
(	I-ORG
гурт	I-ORG
)	I-ORG

'	O
''	O
Вовре́-ан-Борн	O
''	O
'	O
(	O
)	O
—	O
муніципалітет	B-LOC
у	O
Франції	B-LOC
,	O
у	O
регіоні	O
Рона-Альпи	B-LOC
,	O
департамент	O
Верхня	B-LOC
Савойя	I-LOC
.	O

ПЕРЕНАПРАВЛЕННЯ	O
Ксенофонтов	B-PER
Олександр	I-PER
Костянтинович	I-PER

'	O
''	O
«Мадо́нна	O
з	O
апельси́новим	O
де́ревом»	O
''	O
'	O
