رجوع_مکرر	O
دانشگاہ	B-ORG
چناب،	I-ORG
شورکوٹ	I-ORG

رجوع_مکرر	O
ٹسکارورا	B-LOC
ٹاؤنشپ،	I-LOC
بریڈفرڈ	I-LOC
کاؤنٹی،	I-LOC
پنسلوانیا	I-LOC

رجوع_مکرر	O
اچ	B-ORG
شریفلی	I-ORG
مسجد	I-ORG

رجوع_مکرر	O
مارشل	B-LOC
کاؤنٹی،	I-LOC
الاباما	I-LOC

رجوع_مکرر	O
حلقہ	B-LOC
این	I-LOC
اے۔168	I-LOC

رجوع_مکرر	O
بار	B-LOC
ٹاؤن	I-LOC
شپ،	I-LOC
میکوپن	I-LOC
کاؤنٹی،	I-LOC
الینوائے	I-LOC

رجوع_مکرر	O
بینک	B-ORG
دولت	I-ORG
پاکستان	I-ORG

رجوع_مکرر	O
ونڈسر	B-LOC
ٹاؤن	I-LOC
شپ،	I-LOC
کاولی	I-LOC
کاؤنٹی،	I-LOC
کنساس	I-LOC

سٹینلے	B-PER
کوبریک،	I-PER
award-winning	O
filmmaker	O

رجوع_مکرر	O
آرمی	B-ORG
پبلک	I-ORG
اسکول	I-ORG
اینڈ	I-ORG
کالج	I-ORG
سسٹم	I-ORG

فہرست	B-ORG
قبرص	I-ORG
کے	I-ORG
شہر	I-ORG

رجوع_مکرر	O
نارتھ	B-LOC
ایڈمز،	I-LOC
میساچوسٹس	I-LOC

رجوع_مکرر	O
لیک	B-LOC
پارک،	I-LOC
فلورایڈا	I-LOC

رجوع_مکرر	O
مونرو	B-LOC
کاؤنٹی،	I-LOC
مغربی	I-LOC
ورجینیا	I-LOC

ولیم	B-PER
چہارم	I-PER
(	O
دور	O
1830–37	O
)	O

رجوع_مکرر	O
فیئرویو	B-LOC
ٹاؤن	I-LOC
شپ،	I-LOC
مرسر	I-LOC
کاؤنٹی،	I-LOC
پنسلوانیا	I-LOC

'	O
''	O
الیگزنڈر	B-PER
گراہم	I-PER
بیل	I-PER
''	O
'	O
-	O
communication	O
(	O
telephony	O
)	O

رجوع_مکرر	O
شاہ	B-PER
ولی	I-PER
افغان	I-PER

سردار	B-ORG
والی	I-ORG
مزاری	I-ORG
ریلوے	I-ORG
اسٹیشن	I-ORG

رجوع_مکرر	O
آرکیڈیا	B-LOC
ٹاؤن	I-LOC
شپ،	I-LOC
نیبراسکا	I-LOC

الزبتھ	B-PER
ایلن	I-PER
(	I-PER
اداکارہ	I-PER
)	I-PER

رجوع_مکرر	O
لیہ	B-PER
آلین	I-PER
بیکر	I-PER

رجوع_مکرر	O
لطیف	B-ORG
آباد	I-ORG
ریلوے	I-ORG
اسٹیشن	I-ORG

رجوع_مکرر	O
الان	B-PER
مکلیوڈ	I-PER
کورمک	I-PER

رجوع_مکرر	O
آئین	B-ORG
پاکستان	I-ORG
میں	I-ORG
پانچویں	I-ORG
ترمیم	I-ORG

رجوع_مکرر	O
راشد	B-ORG
آباد	I-ORG
ہالٹ	I-ORG
ریلوے	I-ORG
اسٹیشن	I-ORG

رجوع_مکرر	O
کانسٹینٹ	B-PER
ٹینس	I-PER
اپوستولس	I-PER
ڈوکسڈز	I-PER

شکیل	B-PER
بدایونی	I-PER
(	O
1916–1970	O
)	O

