Đồng	B-LOC
bằng	I-LOC
sông	I-LOC
Cửu	I-LOC
Long	I-LOC

Trần	B-PER
Trọng	I-PER
Kim	I-PER
,	O
''Đường	O
thi	O
''	O
.	O

Gaushorn	B-LOC
(	O
213	O
)	O

10.17	O
-	O
'	O
''	O
Wonder	B-ORG
Girls15th	I-ORG
-	O
Nobody3rd	O
''	O
'	O

đổi	O
CJ	B-ORG
E	I-ORG
&	I-ORG
M	I-ORG
Pictures	I-ORG

Đây	O
là	O
loài	O
bản	O
địa	O
của	O
Argentina	B-LOC
,	O
Brasil	B-LOC
,	O
và	O
Paraguay	B-LOC
.	O

Sân	B-ORG
vận	I-ORG
động	I-ORG
chính	I-ORG
Khu	I-ORG
liên	I-ORG
hợp	I-ORG
thể	I-ORG
thao	I-ORG
quốc	I-ORG
gia	I-ORG
Lào	I-ORG

Kia]]	O
,	O
Mazda	B-ORG
,	O
BMW	B-ORG

''	O
'	O
''	O
'	O
-	O
Gustavo	B-PER
Gianetti	I-PER

''	O
Senecio	B-LOC
nevadensis	I-LOC
''	O
Boiss	O
.	O

đổi	O
Pháp	B-ORG
xâm	I-ORG
lược	I-ORG
Ai	I-ORG
Cập	I-ORG

Máy	B-PER
in	I-PER
mã	I-PER
vạch	I-PER

đổi	O
Xã	B-LOC
Middlefield	I-LOC
,	I-LOC
Quận	I-LOC
Geauga	I-LOC
,	I-LOC
Ohio	I-LOC

''	O
Ca	B-ORG
n't	I-ORG
Get	I-ORG
You	I-ORG
Out	I-ORG
of	I-ORG
My	I-ORG
Head	I-ORG
''	O

''	O
Macroglossum	B-LOC
fruhstorferi	I-LOC
''	O

Xã	B-LOC
của	I-LOC
tỉnh	I-LOC
Ariège	I-LOC

đổi	O
Nguyễn	B-PER
Thế	I-PER
Anh	I-PER
(	I-PER
cầu	I-PER
thủ	I-PER
bóng	I-PER
đá	I-PER
sinh	I-PER
1981	I-PER
)	I-PER

Lợi	B-LOC
nhuận	I-LOC
trên	I-LOC
vốn	I-LOC

'	O
''	O
Cầu	B-ORG
Notre-Dame	I-ORG
''	O
'	O

Siem	B-LOC
Bouk	I-LOC
(	O
19-02	O
)	O

Móng	B-LOC
Cái	I-LOC
,	O
Quảng	B-LOC
Ninh	I-LOC

Thị	B-LOC
trấn	I-LOC
của	I-LOC
tỉnh	I-LOC
Haute-Saône	I-LOC

====	O
Llerena	B-LOC
,	I-LOC
Badajoz	I-LOC
====	O

*Huyện	O
Thạch	B-ORG
Đài	I-ORG
(	O
石台县	O
)	O

Bác	B-ORG
sĩ	I-ORG
không	I-ORG
biên	I-ORG
giới	I-ORG

đổi	O
Giáo	B-PER
hoàng	I-PER
Gioan	I-PER
X	I-PER

Thời	O
Thái	B-PER
Tổ	I-PER
Cao	I-PER
hoàng	I-PER
đế	I-PER
,	O
hệ	O
thống	O
quan	O
chế	O
chưa	O
hoàn	O
thiện	O
.	O

'	O
''	O
Nicole	B-PER
Kidman	I-PER
''	O
'	O

Jean	B-PER
de	I-PER
Lattre	I-PER
de	I-PER
Tassigny	I-PER

'	O
''	O
Helen	B-PER
Mirren	I-PER
''	O
'	O

Borussia	B-ORG
Mönchengladbach	I-ORG
thắng	O
với	O
tổng	O
tỷ	O
số	O
'	O
''	O
2	O
''	O
'–	O
''	O
'1	O
''	O
'	O

Hai	O
ngôi	O
đền	O
kia	O
là	O
Phnom	B-ORG
Bakheng	I-ORG
và	O
Phnom	B-ORG
Bok	I-ORG
.	O

đổi	O
RAW	B-PER
(	I-PER
định	I-PER
dạng	I-PER
ảnh	I-PER
)	I-PER

đổi	O
Lý	B-PER
Thần	I-PER
phi	I-PER
(	I-PER
Tống	I-PER
Chân	I-PER
Tông	I-PER
)	I-PER

Trung	B-ORG
tâm	I-ORG
Hợp	I-ORG
tác	I-ORG

'	O
''	O
Amasya	B-LOC
''	O
'	O

đổi	O
Southampton	B-ORG
F.C	I-ORG
.	I-ORG

đổi	O
Olympiakos	B-ORG
F.C	I-ORG
.	I-ORG

'	O
''	O
Cee	B-PER
Lo	I-PER
Green	I-PER
''	O
'	O

Cả	O
hai	O
con	O
của	O
ông	O
đều	O
tốt	O
nghiệp	O
Học	B-ORG
viện	I-ORG
Âm	I-ORG
nhạc	I-ORG
Quốc	I-ORG
gia	I-ORG
Việt	I-ORG
Nam	I-ORG
.	O

Ông	O
tốt	O
nghiệp	O
Đại	B-ORG
học	I-ORG
Đà	I-ORG
Lạt	I-ORG
.	O

Stade	B-ORG
de	I-ORG
France	I-ORG
,	O
Saint-Denis	B-ORG

đổi	O
Xã	B-LOC
Hanover	I-LOC
,	I-LOC
Quận	I-LOC
Butler	I-LOC
,	I-LOC
Ohio	I-LOC

đổi	O
Câu	B-ORG
lạc	I-ORG
bộ	I-ORG
bóng	I-ORG
đá	I-ORG
Tokyo	I-ORG

**	O
''	O
Saltator	B-LOC
grossus	I-LOC
''	O

ĐỔI	O
Trà	B-LOC
Vinh	I-LOC
(	I-LOC
thành	I-LOC
phố	I-LOC
)	I-LOC

đổi	O
Yun	B-PER
In	I-PER
Wan	I-PER

Lê	B-PER
Thánh	I-PER
Tông	I-PER
(	O
黎聖宗	O
)	O

A	B-ORG
Year	I-ORG
Without	I-ORG
Rain	I-ORG
''	O
(	O
2010	O
)	O

'	O
''	O
Braunau	B-LOC
am	I-LOC
Inn	I-LOC
''	O
'	O

Warren	B-PER
G.	I-PER
Harding	I-PER
,	O
Calvin	B-PER
Coolidge	I-PER
,	O
Herbert	B-PER
Hoover	I-PER

đổi	O
Álvaro	B-ORG
Obregón	I-ORG
,	I-ORG
Distrito	I-ORG
Federal	I-ORG

''	O
Theretra	B-LOC
viridis	I-LOC
''	O

Ettenhausen	B-LOC
an	I-LOC
der	I-LOC
Suhl	I-LOC

Giuse	B-PER
Maria	I-PER
Trịnh	I-PER
Như	I-PER
Khuê	I-PER

;	O
Cộng	B-LOC
hòa	I-LOC
Tây	I-LOC
Ban	I-LOC
Nha	I-LOC

''	O
Ilex	B-LOC
machilifolia	I-LOC
''	O
H.W	O
.	O

đổi	O
Hươu	B-LOC
sừng	I-LOC
ngắn	I-LOC
lông	I-LOC
xám	I-LOC

'	O
''	O
Quân	B-ORG
lực	I-ORG
Việt	I-ORG
Nam	I-ORG
Cộng	I-ORG
hòa	I-ORG
''	O
'	O

(	O
''Xem	O
Chiến	B-ORG
tranh	I-ORG
Xô	I-ORG
viết	I-ORG
tại	I-ORG
Afghanistan	I-ORG
''	O
)	O

Xã	B-LOC
của	I-LOC
tỉnh	I-LOC
Calvados	I-LOC

